stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,0,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,1,1,0,0,0,0,2,1,4,1,5,0,0,2,0,0
 24-34,0,0,0.82,2.46,0,0,0,0,0,0,0.82,0,0.82,0,0,0.82,0,0,0,0,4.93,0,0,4.1,4.1,0.82,1.64,0,0,0,8.21,0,2.46,0.82,1.64,0,0,2.46,0,0
 36-46,0,0,0,3.22,0.81,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,8.86,0.81,0,2.42,29,0,3.22,0,0,0,7.25,0,0,0,3.22,0,0,3.22,0,0
 48-58,0,0,0,0,4.02,0,0.57,0,1.72,0.57,0.57,0,1.15,0.57,0,1.15,0,0,0,0,8.61,0.57,1.15,1.15,27.54,0,1.15,0,0,0.57,7.46,0,0.57,0,2.3,0,0,1.72,0,0.57
 60-70,0,0,0,1.96,7.85,0,5.89,0,0,2.94,12.76,0,0.98,0.98,0,0.98,0.98,1.96,0,0,15.7,1.96,0,0.98,52.02,0,2.94,0,0,0,3.93,0,0,0,3.93,0,0,1.96,0,0.98
 72-82,0,0,0,2.94,86.39,0,10.8,0.98,0,1.96,21.6,1.96,0.98,0,1.96,0,0.98,5.89,0,0,30.43,3.93,1.96,0,100.13,0,3.93,0,0,0,8.83,0,0.98,0,1.96,0.98,0.98,1.96,0,0
 84-94,0,0,0,4.25,67.97,0,14.87,0,0,1.06,11.68,6.37,2.12,0,0,0,1.06,0,2.12,0,37.17,2.12,1.06,3.19,59.47,2.12,3.19,2.12,0,0,26.55,0,3.19,0,3.19,1.06,2.12,1.06,0,0
 96-106,0,0,1.09,6.56,69.94,1.09,17.49,0,1.09,1.09,17.49,14.21,0,3.28,1.09,1.09,0,3.28,1.09,0,38.25,2.19,1.09,1.09,63.39,1.09,10.93,3.28,0,1.09,16.39,0,0,0,2.19,1.09,3.28,3.28,2.19,0
108-118,0,0,0,13.02,37.53,4.6,19.92,0,3.83,0.77,16.09,8.43,0,1.53,0.77,1.53,3.06,0,0.77,0.77,22.21,5.36,3.06,4.6,73.53,1.53,1.53,0,0,1.53,9.19,0,2.3,0,0,3.06,1.53,3.06,3.83,0.77
120,0,0,0,13.72,41.16,0,31.36,1.96,3.92,0,25.48,5.88,0,1.96,1.96,1.96,0,3.92,0,0,19.6,3.92,1.96,5.88,86.23,0,1.96,0,0,0,21.56,0,1.96,0,0,0,1.96,1.96,3.92,0
