stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,5,62,10,0,28,0,0,0,11,3,0,1,0,1,0,0,0,0,30,0,0,32,290,7,2,6,11,0,1,40,2,0,63,113,0,0,2,0,0
 24-34,0,1.64,26.27,1.64,0,50.89,1.64,1.64,0.82,5.75,2.46,0,0,0,1.64,0,0.82,0.82,0.82,48.43,1.64,0,19.7,448.19,1.64,13.95,0.82,0,0.82,4.93,0,0.82,0,5.75,102.61,0,0,14.78,0,0
 36-46,0,0,8.06,0,0,68.48,0.81,0,0.81,23.36,0.81,1.61,0.81,0.81,0.81,0,0.81,0,1.61,47.53,0,3.22,12.89,402.83,0.81,13.7,2.42,0,0,2.42,0.81,0.81,0,0,104.74,0,0,3.22,0,0
 48-58,0.57,0,8.03,0,0,110.74,2.87,3.44,4.59,28.69,3.44,0,1.15,0.57,0,0.57,0.57,1.15,2.87,60.25,0,1.15,10.33,380.43,1.15,12.62,1.15,0,0,5.74,0,0.57,0.57,0,82.05,0,0.57,7.46,0,2.87
 60-70,0,0,4.91,0,0,133.49,2.94,0.98,2.94,35.33,2.94,0,0.98,1.96,2.94,0.98,0,1.96,1.96,51.04,0,3.93,10.8,394.57,3.93,9.82,3.93,0,0,6.87,0,1.96,0,0,53.98,0,1.96,4.91,0,2.94
 72-82,1.96,0,10.8,1.96,0,126.63,0.98,1.96,5.89,53.99,7.85,0,0.98,0.98,0.98,0.98,0,0,1.96,83.44,0.98,2.94,5.89,374.99,0,24.54,0.98,0,0,4.91,0,1.96,0,0,31.41,0.98,3.93,8.83,3.93,2.94
 84-94,2.12,0,14.87,0,3.19,87.09,2.12,1.06,1.06,25.49,16.99,0,1.06,2.12,1.06,3.19,2.12,0,1.06,47.79,0,1.06,11.68,170.99,1.06,21.24,2.12,0,0,11.68,0,2.12,0,0,20.18,3.19,0,10.62,1.06,1.06
 96-106,1.09,0,12.02,2.19,0,67.76,0,1.09,1.09,29.51,13.11,0,2.19,2.19,1.09,1.09,3.28,1.09,2.19,39.34,0,2.19,8.74,124.58,3.28,20.76,4.37,0,0,7.65,0,0,0,0,12.02,3.28,1.09,7.65,4.37,2.19
108-118,1.53,0,9.96,0,0,55.15,3.83,1.53,2.3,22.21,13.79,0,0.77,3.06,0.77,3.83,0.77,0,0.77,41.36,0,4.6,2.3,136.34,3.83,12.26,3.83,0,3.06,3.06,0,0,0,0,3.83,4.6,1.53,6.89,2.3,10.72
120,0,0,15.68,7.84,0,39.2,1.96,1.96,0,33.32,17.64,0,0,3.92,0,3.92,1.96,0,1.96,41.16,0,3.92,9.8,192.06,1.96,5.88,1.96,0,0,9.8,0,1.96,0,0,7.84,0,1.96,9.8,1.96,0
