stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,0,0
 24-34,0,0,0.82,0,3.28,0,0,10.67,0,0,0.82,0,0,0.82,0,0,0.82,0,3.28,47.61,0,0,0,0,2.46,0,10.67,0,1.64
 36-46,0,0,0,0,0.81,0,0,14.5,0,0,0,0,0,0,0,0.81,1.61,0,0,16.92,0,1.61,0,0,1.61,0.81,2.42,0,0
 48-58,0,0,0,0,0,0,0,9.18,0,0,0,2.3,0,0,0,0,2.87,0,2.3,36.72,0,0,0,0,0,0,5.16,0,0
 60-70,0,0,0,0,0,0,0,15.7,0,0,0,3.93,0,0,0.98,0,6.87,0,0,32.39,0,0,0,0,1.96,0,0.98,0,0
 72-82,0,0,0,0,0,0.98,0,8.83,0,0,0.98,4.91,0,0,0,0,1.96,0,0,31.41,0,0,0,0.98,0,0,1.96,0,0.98
 84-94,0,0,0,0,2.12,0,0,5.31,0,0,0,0,0,0,0,0,1.06,0,0,16.99,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,4.37,1.09,1.09,0,2.19,1.09,0,0,0,5.46,0,0,16.39,0,1.09,0,0,4.37,0,1.09,1.09,1.09
108-118,0,0,0,0,1.53,0,0.77,6.13,0,0,0,1.53,2.3,0,0,0,4.6,0.77,0,27.57,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,1.96,1.96,0,0,0,0,1.96,0,0,29.4,0,0,0,0,0,0,0,0,0
