stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  7-9,0,2.63,0,2.63,0,0,5.26,0,0,0,0,491.57,0,0,0,0,0,0,0,0,0,0,0,44.69,0,0,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,34.62,0,9.44,9.44,0,0,0,0,550.72,0,0,0,0,0,0,0,0,0,0,0,572.75,12.59,0,0,236.02,0,6.29,12.59,0,6.29,0,0,0
 14-21,1,1,0,10,186,40,78,1,0,24,4,247,3,2,7,0,0,3,2,75,1,0,53,930,34,4,14,24,41,146,11,20,161,292,7,4
 24-34,0,0,0.82,6.57,79.62,7.39,117.38,8.21,1.64,36.94,3.28,77.16,3.28,4.93,9.03,0,3.28,10.67,3.28,117.38,1.64,0,55.82,1377.4,14.78,17.24,12.31,0,70.59,0.82,9.85,12.31,46.79,288.94,55.82,4.93
 36-46,0,0,0,0,7.25,0,15.31,0.81,0,0.81,0.81,22.56,0,0,0.81,1.61,0,0,0.81,15.31,0.81,0,8.06,163.55,2.42,0.81,0,0,11.28,0,0,1.61,0,19.34,5.64,2.42
 48-58,0,0,0,0,0,0,2.87,0,0.57,0.57,0,37.3,0,0,0,0,0,0,0,2.3,0,0,0,5.74,0,0,0.57,0,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,1.96,0,0,0,0,13.74,0,0,0,0,0,0,0,1.96,0.98,0.98,0,7.85,0,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0,0,6.87,0,0,0,0,0,0.98,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
