stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,4,70,20,28,0,0,95,3,1,2,0,2,0,0,29,0,0,5,423,11,7,37,24,0,1,10,114,1,10,405,0,0,4,0
 24-34,0,1.64,0.82,12.31,0.82,25.45,0.82,0,58.28,0,0,0,0,0.82,1.64,0.82,15.6,0,0,4.1,263.49,0,24.63,22.16,0,0,0,0,17.24,0,1.64,184.69,0,0,1.64,0
 36-46,0,0,0,0.81,0,29,0.81,0,40.28,0.81,0,0,0,0,2.42,0.81,13.7,0,0,4.83,252.17,0.81,27.39,7.25,0,0,0,0,15.31,0,0,118.43,0,0,1.61,0
 48-58,0,0,0,0.57,0,34.43,0,1.15,49.92,0,0,0,0,0.57,3.44,0,12.62,0,0.57,2.3,133.12,0,16.64,9.18,0,0,0,0,3.44,0,0,91.23,0,0,0,0
 60-70,0,0,0,1.96,0,49.08,0,0,51.04,0.98,0,0,0,0,1.96,0,12.76,0,0,0,95.21,0.98,14.72,7.85,0,0,0,0,0.98,0,0,50.06,0,0,0,0
 72-82,0,5.89,0,1.96,0,50.06,0,1.96,58.9,2.94,0,1.96,0,0.98,8.83,0,24.54,0.98,0,4.91,124.67,0,17.67,16.69,0,0,1.96,0,0,0,0,33.38,0.98,0.98,1.96,0
 84-94,0,3.19,0,2.12,0,41.42,1.06,0,36.11,0,0,0,0,1.06,3.19,0,10.62,0,2.12,4.25,52.04,0,13.81,13.81,0,0,2.12,0,11.68,0,0,27.61,0,0,0,0
 96-106,0,1.09,0,4.37,0,15.3,0,1.09,31.69,4.37,0,1.09,1.09,2.19,8.74,0,7.65,0,2.19,4.37,36.06,0,28.41,24.04,0,1.09,1.09,0,5.46,0,0,27.32,0,1.09,0,0
108-118,0,3.06,0,4.6,1.53,14.55,0,0,36,0.77,0,0,0.77,0,2.3,0,12.26,0,0,0.77,78.89,0.77,19.15,14.55,0,0,1.53,0,3.83,0,0,20.68,0.77,0,3.06,0.77
120,0,0,0,3.92,0,11.76,0,1.96,21.56,1.96,0,0,0,0,7.84,0,11.76,0,0,1.96,47.03,0,1.96,3.92,0,0,1.96,0,1.96,0,0,7.84,0,0,0,0
