stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,12.26,0,0,0,0,0,0
  7-9,2.63,15.77,7.89,0,0,0,18.4,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,186.64,2.63,0,0,65.72,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,116.44,3.15,0,0,18.88,0,0,0,0,0,0,0
 14-21,0,0,0,7,1,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,17,0,0,0,3,1,3,2,6,0,0,1
 24-34,0,0,0,4.1,0,0,1.64,0,0,0,0,0,0,0,0,0.82,0,1.64,0,0,0.82,14.78,0,0,1.64,0,8.21,0,0,1.64,0,0,0.82
 36-46,0,0,0,1.61,0,0,4.83,0,2.42,0,0,0,0,0,0,0,0,2.42,0.81,0,1.61,12.89,0,0,1.61,0,2.42,0,0,4.03,0,0,0
 48-58,0,0,0,1.72,1.15,0,0.57,0,1.15,0,0,0.57,0,0,0,0.57,0.57,1.15,1.15,0,0,5.16,0.57,0,0.57,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,3.93,0,0,2.94,0,1.96,0.98,0,0,0,0,0,0.98,0,4.91,0.98,0,0,5.89,0,0.98,1.96,0,2.94,0,0,0,0,0,0
 72-82,0,0,0,3.93,0,0,1.96,0.98,0,1.96,0,0.98,0.98,0,0,0,0,2.94,0,0,0,4.91,0,0,0.98,0,3.93,0,0,0,0.98,0.98,0
 84-94,0,0,0,4.25,0,1.06,4.25,0,1.06,1.06,0,0,1.06,1.06,1.06,0,0,2.12,0,0,1.06,4.25,0,3.19,2.12,0,9.56,0,0,0,0,0,0
 96-106,0,0,0,6.56,0,0,1.09,0,0,0,0,0,0,2.19,0,1.09,1.09,0,0,0,0,1.09,0,0,2.19,0,8.74,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0,2.3,0,0.77,0.77,0,0,0.77,1.53,0,0,0,0.77,0,0.77,0.77,2.3,0,0,0.77,0,6.13,0,0,0,0,0,0
120,0,0,0,9.8,0,0,0,1.96,0,3.92,0,0,0,0,0,0,0,0,0,0,0,5.88,0,1.96,0,0,1.96,0,0,0,0,0,0
