stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,5.75,0,0,0,0,0,0
 36-46,0,0,0,0,0,2.42,0,0,0,0.81,3.22,0,0,0.81,0,0,0
 48-58,0,0,0,1.15,0,6.89,0.57,0,0,0,1.72,0,0,0,0.57,0,0
 60-70,0,0,0,0.98,0.98,3.93,0.98,0,0,0,3.93,0,0,0,0,0,0
 72-82,0,0,0.98,1.96,0,16.69,3.93,0,0,0,1.96,0,0,0,0,0,0
 84-94,0,1.06,0,0,0,19.12,0,0,1.06,0,1.06,0,0,2.12,0,0,0
 96-106,0,0,0,0,0,16.39,0,2.19,1.09,0,3.28,0,0,0,0,0,0
108-118,0,0.77,0,0,0,14.55,0.77,0,0,0.77,2.3,0.77,0,0,0,0.77,0.77
120,0,0,0,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0
