stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,21.03,5.26,0,0,13.14,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,34.62,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,3.28,0,0.82,0,0,0,0,0.82,0,0,0.82,0,0,4.1,0,0,0,0,0.82,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0.81,0.81,0,0,0,0,0,0.81,0,0.81,0.81,0,0,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,1.72,0,1.15,0,0,0,0.57,0.57,0.57,0,0,0.57,0,0,0,0,0,0,0.57,1.72,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,0,0,2.94,0,0,0.98,0,0,0.98,0,0.98,0,0,0,0.98,0.98,0
 72-82,0,0,0,0.98,0,0.98,0,0,0.98,0,0,0,0,1.96,0,0.98,0,0,0,0,0,0.98,0,0.98,0,0,0,0
 84-94,0,0,0,1.06,2.12,1.06,0,0,0,0,0,0,0,4.25,1.06,0,0,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,1.09,0,2.19,0,1.09,0,1.09,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0.77,0,0.77,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0.77,0,0,0,0.77
120,0,0,0,5.88,0,0,0,5.88,0,3.92,0,0,1.96,0,1.96,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0
