stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,4,0,0,1,0,0,1,1,2,2,5,1,0,0,0,0,0
 24-34,0,0,0,0.82,0,12.31,1.64,0,0,0.82,0,0,0.82,0.82,0,2.46,0,1.64,13.13,0,5.75,16.42,0.82,0,4.1,0,0,0.82,0,1.64,2.46,3.28,3.28,0,0,1.64,0,2.46
 36-46,0,0,0,0.81,0,7.25,4.83,0,0.81,0,0,0,3.22,0.81,0,0,0,0.81,15.31,0,7.25,11.28,0,3.22,4.03,0,0,0,0,2.42,4.03,0,0.81,0,0,5.64,0,0.81
 48-58,0,0,0,0,0,7.46,4.59,1.15,1.15,2.87,0,0,2.3,0,0,1.72,0,0.57,18.94,0,2.87,9.18,0.57,0.57,2.3,0,0,1.72,0,0,2.3,0,1.72,0,0,1.15,0,5.74
 60-70,0,0,0,0,0,9.82,7.85,2.94,2.94,8.83,0,0.98,0,0,0,2.94,0,0.98,25.52,0,3.93,5.89,0,0.98,5.89,0,0,1.96,0,0.98,0,0,2.94,0,0,0,0.98,3.93
 72-82,0,0,0,1.96,0.98,21.6,5.89,0,1.96,47.12,0,0,2.94,6.87,4.91,4.91,0,0.98,62.83,0.98,7.85,6.87,0,0.98,15.71,0,0,0.98,0,0.98,1.96,0,0.98,0,0,6.87,0,6.87
 84-94,0,0,0,3.19,1.06,18.05,1.06,1.06,3.19,35.05,0,0,2.12,3.19,2.12,6.37,0,2.12,25.49,1.06,2.12,6.37,1.06,1.06,13.81,0,0,8.5,0,4.25,2.12,0,2.12,0,0,5.31,3.19,2.12
 96-106,0,0,0,1.09,0,12.02,5.46,2.19,1.09,64.48,1.09,0,0,8.74,1.09,8.74,0,0,28.41,1.09,4.37,17.49,0,2.19,16.39,0,0,6.56,0,0,2.19,0,0,0,0,4.37,2.19,7.65
108-118,0,0,0.77,4.6,0,16.85,5.36,1.53,0.77,55.15,0,0,0.77,3.83,5.36,4.6,0.77,0.77,32.17,0,3.83,10.72,0.77,2.3,11.49,0,0.77,1.53,0,2.3,1.53,0,1.53,0,0,3.06,2.3,6.13
120,1.96,0,0,3.92,0,11.76,7.84,0,0,62.71,1.96,0,1.96,1.96,0,3.92,1.96,0,29.4,0,5.88,9.8,0,1.96,17.64,0,0,3.92,0,0,1.96,0,0,1.96,1.96,5.88,1.96,0
