stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,0,0,0,0
 24-34,0,0,0,0.82,1.64,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0.82,0,0,0,114.1,0,0,0,0,0,0,0,20.52,0,0,0,0,0
 36-46,0,0.81,0,0.81,0.81,6.45,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,339.99,0,0.81,0,0,0,0.81,0,56.4,0,0,0,0,0
 48-58,0,0,0,2.87,0.57,21.8,0,0,0,4.59,0,1.72,0,0,0,0,0.57,4.02,0,0.57,1.15,639.79,0,0.57,0,0,0,0,0,54.51,0,0,0.57,0,0
 60-70,0,0,0,0,0,106.99,1.96,0,0,10.8,0,0,0.98,1.96,0.98,0,0,12.76,0,0,0,1378.06,0.98,0,0.98,0,0,1.96,0,79.5,0,0,1.96,0,0
 72-82,0,1.96,0,2.94,1.96,237.56,0.98,0,0,15.71,1.96,0,0.98,0,0.98,0,0.98,18.65,0,0,0,1608.94,0,0.98,0.98,0,0,0.98,0,69.7,0,0.98,1.96,0.98,0.98
 84-94,0,0,0,7.43,1.06,165.68,0,3.19,2.12,16.99,0,0,0,0,0,0,0,16.99,1.06,0,0,729.62,0,0,0,0,0,3.19,0,26.55,0,0,0,1.06,0
 96-106,0,0,0,9.84,4.37,135.51,1.09,0,1.09,17.49,0,1.09,0,2.19,0,2.19,0,19.67,1.09,0,1.09,664.45,0,0,1.09,0,1.09,1.09,1.09,16.39,0,0,1.09,0,4.37
108-118,0,0.77,0,9.19,0.77,108,0,0,1.53,13.79,0,0,0,0,0,0,0,10.72,0.77,0,0,644.17,0,0,0.77,0,0,2.3,0,13.79,1.53,0,3.06,0,1.53
120,0,0,0,9.8,5.88,135.23,0,1.96,0,7.84,0,1.96,0,0,0,0,0,7.84,0,0,0,795.67,1.96,1.96,0,0,0,3.92,3.92,15.68,0,0,0,0,3.92
