stage,axial,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,38.58,0,0,0,0,0
 36-46,0,0.81,0,0,0.81,1.61,0,0,0,0,0,0.81,0,0,0.81,0,70.09,0,0.81,0,0,0
 48-58,0,0,0,0,1.72,1.15,0,0,0,0.57,0,1.72,0,0,4.02,0,59.68,0,0,0,0,0
 60-70,0,0.98,0,6.87,0,3.93,0,0,0,0.98,0,0,0,0,0,0,91.28,0,0,0.98,0,0.98
 72-82,0,0.98,0,13.74,0,0.98,0,0,0,0.98,0,1.96,0,0,3.93,0,60.86,0,0.98,0,0,0
 84-94,0,2.12,0,16.99,1.06,9.56,1.06,1.06,0,0,0,0,0,0,2.12,0,250.64,1.06,0,0,0,0
 96-106,0,3.28,1.09,9.84,0,3.28,0,0,1.09,1.09,1.09,1.09,0,0,0,0,170.48,0,0,0,0,0
108-118,0,1.53,0,7.66,0,7.66,0,0.77,0,3.06,0,0.77,3.06,0,1.53,0,165.45,0,0,0,0.77,0
120,0,1.96,0,3.92,0,7.84,0,0,0,1.96,0,0,1.96,0,1.96,0,101.91,0,0,0,0,0
