stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,3.15,0,0,22.03,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,8,2,0,8,0,0,0,4,1,3,0,0,0,0,0,0,0,3,0,0,1,63,1,1,0,1,0,4,0,8,0,5,34,0,0,1,0,0
 24-34,0,1.64,0.82,4.93,2.46,0,24.63,0,0.82,0,2.46,0,0,1.64,0,0.82,0,0,0,0,18.06,0.82,0,7.39,338.19,0,18.06,0.82,0,0,3.28,0,0,0,0.82,82.09,0,0,6.57,0,0.82
 36-46,0,0,0,3.22,0.81,0,32.23,0,0,0,9.67,0,0,0.81,0,0,0,0,0,0.81,17.72,0,0.81,4.03,584.11,1.61,16.92,0,0,0,7.25,0,0,0,0,132.13,0,0,1.61,0,0
 48-58,0,0,0,1.72,2.3,0,99.84,0.57,0.57,0.57,18.94,0.57,0.57,0.57,0,0.57,0.57,0.57,0.57,0.57,26.4,0,0,4.59,762.59,0,14.92,0.57,0,0,3.44,0,0,0.57,0,153.21,0,0,5.16,0,1.15
 60-70,0,1.96,0,4.91,1.96,0,247.34,0,0.98,1.96,18.65,0.98,0,0,0,0,0.98,1.96,0.98,0.98,35.33,0,1.96,1.96,1032.56,1.96,13.74,0.98,0,0,6.87,0,0,0,0,144.28,0.98,1.96,0.98,0.98,0.98
 72-82,0,2.94,0,8.83,16.69,0,381.87,1.96,1.96,0.98,38.28,0.98,0.98,0,0.98,0.98,0,0.98,1.96,0,54.97,0,0,6.87,1010.13,0,30.43,9.82,0.98,0,5.89,0,0,0.98,0,91.29,0.98,1.96,4.91,1.96,0
 84-94,0,3.19,0,10.62,8.5,0,264.45,0,0,1.06,27.61,3.19,1.06,0,2.12,5.31,0,3.19,1.06,6.37,32.92,2.12,1.06,5.31,531.02,0,26.55,7.43,0,1.06,4.25,0,0,2.12,0,54.16,2.12,1.06,4.25,1.06,3.19
 96-106,0,7.65,0,5.46,9.84,0,225.13,1.09,1.09,2.19,39.34,3.28,0,0,4.37,0,2.19,2.19,1.09,5.46,38.25,0,1.09,3.28,449.16,0,31.69,5.46,0,2.19,8.74,0,0,0,0,41.53,1.09,1.09,3.28,2.19,0
108-118,0,1.53,0,10.72,7.66,0.77,204.51,0,0,1.53,29.87,1.53,0,0,2.3,0.77,1.53,3.06,0,3.83,29.87,0,2.3,3.83,510.13,0.77,22.21,4.6,0,0,5.36,0,0,1.53,0,16.85,3.83,0.77,5.36,0,0.77
120,0,5.88,0,13.72,5.88,0,164.62,0,1.96,1.96,37.24,0,0,0,1.96,3.92,0,5.88,1.96,0,33.32,0,0,3.92,629.09,1.96,29.4,5.88,0,1.96,3.92,0,0,1.96,0,27.44,1.96,0,3.92,1.96,0
