stage,blastomeres,epidermis,eye,hatching.gland,heart,immune,iridophores,mesenchyme,muscle,neural,paraxial.mesoderm,spinal.cord,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0
 48-58,0,0,0.57,0,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,0,1.96
 72-82,0,0,0,0,0.98,0,0,2.94,0,0,0,0,0
 84-94,0,1.06,1.06,0,0,0,0,1.06,0,0,0,1.06,0
 96-106,0,0,0,0,0,2.19,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0.77,0,0,0,0,0
