stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,2,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,1.64,86.19,0,0,1.64,1.64,0,1.64,0,0,0,0,0,0,17.24,0,11.49,1.64,0,3.28,13.13,0,6.57,4.1,0,0,2.46,4.1,0,2.46,0,0,2.46,0,0
 36-46,0,0,0,0,49.95,0,0,0.81,0,0,1.61,0,0,0,0.81,0.81,0,16.11,0,20.14,1.61,0.81,0.81,13.7,0,6.45,5.64,0,0,0,0.81,0,4.03,0,0,2.42,0,0
 48-58,0,0,0,0,90.66,0,0,4.02,7.46,0.57,0.57,0,0,0.57,2.3,4.02,0,17.79,0.57,21.8,1.15,0.57,2.3,13.77,0,3.44,14.35,0,0,1.15,0.57,0,4.59,0,0.57,1.72,0,0.57
 60-70,0,0,0,0,107.97,0,0,2.94,10.8,2.94,0.98,0,0,0,1.96,2.94,0,19.63,0,53,2.94,0,2.94,4.91,0,1.96,4.91,0,0,3.93,0,0,0.98,0,0,2.94,0,0
 72-82,0,0,0.98,0,131.54,0,0,12.76,12.76,3.93,1.96,0.98,0,1.96,2.94,7.85,0,23.56,0,113.87,0.98,2.94,8.83,14.72,0,5.89,23.56,0,0.98,8.83,0.98,0,0.98,0.98,0.98,4.91,2.94,0
 84-94,1.06,0,1.06,0,276.13,0,0,7.43,30.8,3.19,4.25,2.12,0,0,3.19,15.93,0,28.68,0,55.23,3.19,0,3.19,5.31,0,16.99,24.43,0,1.06,31.86,6.37,0,0,1.06,0,1.06,1.06,0
 96-106,1.09,0,2.19,0,511.45,1.09,1.09,7.65,64.48,2.19,4.37,6.56,0,1.09,0,25.14,0,40.44,0,101.63,14.21,3.28,2.19,28.41,1.09,31.69,37.16,0,0,49.18,3.28,0,1.09,4.37,0,6.56,1.09,1.09
108-118,0,0,2.3,0,370.73,0.77,0,2.3,71.23,6.13,0.77,4.6,0,0,1.53,16.85,0.77,31.4,0.77,98.04,5.36,0,3.06,22.21,0,19.15,45.96,0,0,41.36,3.06,0,0,6.13,0,2.3,0.77,0.77
120,0,0,3.92,0,258.69,0,0,7.84,60.75,1.96,0,0,0,0,1.96,9.8,0,15.68,1.96,33.32,7.84,0,1.96,27.44,0,15.68,25.48,0,0,39.2,0,0,0,1.96,0,3.92,0,0
