stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,10.67,0,0,0,0.82,0,2.46,0
 36-46,0,0,1.61,0,0.81,0,0,0,0,0.81,0.81,10.47,0.81,0,0,0,0,3.22,0
 48-58,0,0,2.3,0,1.15,0,0,0,0,0.57,0,7.46,0,0,0,0,0,0.57,0.57
 60-70,0,0,4.91,0,0,0,0,0,0,1.96,0,9.82,0,0.98,0,0,0,0.98,0
 72-82,0,0,4.91,0,0.98,0,0.98,0,0,0.98,0,5.89,0,0,0,0,0,0,0
 84-94,0,0,1.06,1.06,1.06,0,0,0,0,2.12,0,4.25,0,0,0,1.06,0,2.12,0
 96-106,0,0,2.19,0,0,1.09,0,0,0,0,0,3.28,0,0,0,0,0,0,0
108-118,0.77,0,4.6,0,0,0,0,0,0.77,0.77,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,1.96,0,0,0,9.8,0,1.96,0,1.96,0,0,0
