stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2,244,1,2,0,0,0,0,2,1,0,3,61,0,0,0,0,0
 24-34,0,0.82,4.1,0.82,0,19.7,0,2.46,0,2.46,0,0,0.82,0,0.82,0,0.82,1.64,0.82,13.13,0,0,13.95,839.74,0.82,2.46,0.82,0,0,9.03,0,0.82,0.82,1.64,87.83,0,0,2.46,0,0.82
 36-46,0,0,6.45,0.81,0,69.29,0,1.61,1.61,16.92,0,0,2.42,0.81,0.81,0.81,0.81,0.81,1.61,42.7,0,1.61,13.7,1525.94,1.61,5.64,2.42,0,0,13.7,0,0.81,0.81,0.81,235.26,0,0,8.86,0,2.42
 48-58,0,0,20.08,4.02,0,428.06,1.15,4.02,8.61,89.51,0,0,6.31,4.02,2.3,4.02,2.87,2.3,6.31,166.98,0.57,2.3,25.25,2226.94,6.31,2.87,5.74,0,0.57,29.26,0,1.15,1.72,0,452.73,0,0,15.49,0.57,25.25
 60-70,0,0,14.72,3.93,0,313.11,2.94,2.94,2.94,51.04,2.94,0,1.96,4.91,1.96,4.91,0.98,1.96,1.96,139.38,2.94,5.89,8.83,1606.75,0.98,3.93,4.91,0,0.98,20.61,0,0.98,0,0,287.59,0.98,1.96,4.91,2.94,16.69
 72-82,0,1.96,25.52,33.38,0,399.54,2.94,2.94,12.76,85.4,4.91,0,3.93,8.83,1.96,0,2.94,1.96,1.96,204.19,0,8.83,6.87,1338.99,0,7.85,5.89,0,2.94,20.61,0,1.96,1.96,0,179.64,1.96,0.98,17.67,4.91,16.69
 84-94,0,5.31,26.55,15.93,0,181.61,1.06,1.06,2.12,41.42,3.19,0,1.06,7.43,0,3.19,2.12,2.12,3.19,79.65,1.06,3.19,10.62,681.83,3.19,1.06,8.5,0,1.06,26.55,0,1.06,1.06,0,117.89,0,3.19,6.37,1.06,5.31
 96-106,0,0,38.25,15.3,3.28,145.35,2.19,5.46,2.19,34.97,1.09,0,2.19,4.37,5.46,4.37,1.09,3.28,1.09,69.94,1.09,0,12.02,556.26,0,0,2.19,0,1.09,21.86,0,1.09,0,0,41.53,0,2.19,7.65,5.46,7.65
108-118,0,0,12.26,4.6,0.77,61.28,0.77,2.3,3.06,23.74,1.53,0,0,1.53,0.77,1.53,2.3,1.53,0,41.36,1.53,2.3,3.83,606.64,0,3.06,2.3,0,0,7.66,0,0.77,0,0,33.7,0,0.77,3.83,1.53,2.3
120,0,0,13.72,7.84,0,54.87,0,1.96,0,19.6,0,0,1.96,0,1.96,0,0,1.96,0,35.28,1.96,1.96,1.96,715.32,3.92,3.92,1.96,0,0,3.92,0,1.96,0,0,9.8,0,0,7.84,1.96,0
