stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,hatching_gland,immune,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste
  3-4,224.02,3465.8,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0
  5-6,36.78,698.78,6.13,0,0,0,0,0,0,0,0,0,36.78,0,6.13,12.26,0,0,0,0,0
  7-9,10.51,10.51,15.77,0,0,5.26,0,0,23.66,0,0,0,157.72,7.89,78.86,2.63,10.51,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,3.15,0,0,0,31.47,0,18.88,0,6.29,0,0,0,0
 14-21,0,0,0,5,1,2,0,1,0,0,1,2,15,2,1,3,2,2,26,3,0
 24-34,0,0,0,0.82,0,0.82,1.64,0,0,0.82,0,0,5.75,0,0,0,0,0,1.64,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0.57,0,1.15,0,0,0,0,0,0,1.72,0.57,0,0.57,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,1.06,0,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,1.09
