stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,948.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,324.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,7.89,15.77,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,3.15,22.03,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,0,0,1,0,1,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,8,1,0,0,0,25,0,0,0,3,2,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,5.75,0,1.64,0,0.82,1.64,1.64,0,0,19.7,0,0,1.64,0,0.82,0.82,0,0,33.66,0,3.28,0.82,0,85.37,0,0.82,0,0,12.31,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,4.83,0,0,0,4.03,0.81,0,0,0,8.86,0,1.61,0.81,0,4.03,4.03,0,0.81,73.32,0,2.42,0,0,68.48,0,0,0,0,14.5,0,0,1.61,0,0
 48-58,0,0,0,0.57,0,0,15.49,0,0.57,0.57,8.03,0,0,0,0,5.16,0,1.72,0,0,4.59,1.15,0,2.3,90.09,0,2.87,0,0,48.2,0,0,0,0,12.62,0,0,1.15,0,0
 60-70,0,0,1.96,1.96,0,0,48.09,0.98,1.96,0,27.48,0.98,0,0.98,1.96,4.91,0,0.98,1.96,0.98,7.85,0,0,0,182.56,0,1.96,1.96,0,49.08,0,0.98,0,0,21.59,0,0,0.98,0,0
 72-82,0,0,0.98,8.83,0.98,0,68.72,0,0,0,26.5,4.91,0,0,0.98,10.8,0,2.94,0,0,18.65,3.93,0.98,2.94,145.29,0,4.91,1.96,0,62.83,0,1.96,0.98,0,10.8,0,0,0,0.98,0
 84-94,0,0,0,10.62,0,1.06,60.54,0,3.19,0,12.74,11.68,0,1.06,2.12,22.3,1.06,0,1.06,0,9.56,3.19,0,0,82.84,0,3.19,1.06,0,186.92,0,5.31,0,0,7.43,1.06,0,6.37,1.06,1.06
 96-106,0,0,0,18.58,1.09,1.09,31.69,0,1.09,0,10.93,10.93,0,1.09,10.93,17.49,0,2.19,0,0,13.11,4.37,0,0,64.48,1.09,6.56,3.28,0,110.38,0,0,0,0,1.09,5.46,0,3.28,0,0
108-118,0,0,1.53,16.85,1.53,3.06,22.21,0,0.77,0,9.96,9.96,0,0.77,8.43,14.55,0,1.53,3.83,0,9.19,4.6,0,0,63.57,0.77,6.13,1.53,0,89.62,0,0.77,0,0,1.53,3.06,0.77,4.6,0.77,0
120,0,0,0,19.6,0,0,17.64,0,0,0,7.84,11.76,0,0,1.96,5.88,0,0,3.92,0,3.92,1.96,0,0,62.71,0,7.84,3.92,0,82.31,0,1.96,1.96,0,0,0,0,5.88,0,0
