stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,1,0,0,0,0
 24-34,0,0,0,0,0,5.75,2.46,0,0,0,0.82,0,0,0,0,0,0,5.75,0,0,2.46,8.21,0,0,0,2.46,0,3.28,0,1.64,0,0,0,0
 36-46,0,0,0,0,0,2.42,14.5,0,0,0.81,0,0,1.61,0,0,0,0,33.03,3.22,0,1.61,16.11,0,0,0,2.42,0,20.14,0,1.61,0,0,0,0
 48-58,0,0,0,1.15,0,4.59,19.51,0,0,2.87,0,0,0,0,0.57,0,0,37.3,2.3,0,0.57,18.94,0,0,0,0.57,0,51.07,0,1.15,0,0,0,0.57
 60-70,0,0,0.98,0,1.96,2.94,20.61,0,0,11.78,0,0,1.96,0.98,0,0,0,27.48,4.91,0.98,0.98,10.8,0.98,0,0,0.98,0,42.21,0,0.98,0,0.98,0,0.98
 72-82,0,0,0,0,0.98,5.89,18.65,0,1.96,34.36,0,0,0.98,0,0,0.98,0,18.65,18.65,0,2.94,20.61,0,0,0,0,0,30.43,0,0.98,0,0.98,0.98,0.98
 84-94,0,0,0,4.25,1.06,7.43,20.18,0,1.06,40.36,1.06,0,0,1.06,0,0,1.06,42.48,6.37,2.12,6.37,24.43,0,0,0,5.31,0,63.72,0,1.06,0,2.12,0,0
 96-106,0,0,2.19,1.09,2.19,14.21,56.83,1.09,0,60.11,1.09,0,1.09,0,0,0,3.28,18.58,16.39,0,10.93,24.04,0,1.09,0,4.37,0,69.94,0,6.56,0,1.09,0,0
108-118,0,0,0,1.53,1.53,10.72,71.23,0,2.3,70.47,0,0,1.53,0.77,1.53,0,3.83,32.17,19.92,0,15.32,17.62,0.77,0,0,2.3,0,74.3,0,0.77,0.77,0,0,1.53
120,0,0,0,5.88,3.92,13.72,121.51,0,0,35.28,0,0,3.92,0,0,0,9.8,5.88,15.68,0,5.88,15.68,0,0,0,3.92,0,17.64,0,0,0,1.96,1.96,0
