stage,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0
 36-46,0,3.22,0.81,0,0.81,0,0,0,0,0,0.81,0,0.81,0,6.45,0,0,0,9.67,1.61,0,0
 48-58,0,1.72,1.15,0,0,0,0,0.57,0,0.57,0,0,1.72,0.57,4.59,1.15,0.57,0,3.44,1.15,0,0
 60-70,0,0,0.98,0,0,0,0,0,0,0.98,0,0,0.98,0,4.91,0,0,0,4.91,3.93,0,0
 72-82,0.98,0.98,2.94,0.98,0,0,0,0,0.98,1.96,0.98,0,1.96,0.98,4.91,0,0,0,6.87,0,0,0
 84-94,0,2.12,0,0,0,0,0,0,0,0,1.06,1.06,0,0,3.19,1.06,1.06,0,5.31,0,0,2.12
 96-106,0,2.19,2.19,0,0,0,2.19,0,0,1.09,0,0,0,0,1.09,1.09,0,0,7.65,0,1.09,0
108-118,0,0,0.77,0,0,1.53,0.77,0,0,2.3,0.77,0,0,0,1.53,0.77,0.77,0,9.19,0,0.77,0
120,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,3.92,0,0,1.96,0,1.96,0,0,0
