stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
 24-34,0,0,4.93,0,0,0,0,0,0,0,0,3.28,0.82,0,0,0,0,0
 36-46,0,0,34.64,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,184.77,0,0,0,0,0,0.57,0,0,2.87,0,0,0.57,0,0,0
 60-70,0,0.98,470.15,0.98,0,0.98,0,0,0,0,0,3.93,0,0,0.98,0,0,0
 72-82,0,0,427.02,0,0,0.98,0,0,0,0.98,0,6.87,0,0,0,0.98,0,0.98
 84-94,0,1.06,424.81,0,0,3.19,1.06,0,0,0,1.06,7.43,0,0,0,0,1.06,0
 96-106,0,1.09,250.26,0,1.09,0,0,0,0,1.09,0,4.37,0,0,0,0,1.09,0
108-118,0,0,147.83,0,0,0,0,0,0,3.83,0,3.83,0,0,0,0,0,0
120,0,0,119.55,0,1.96,0,0,1.96,0,1.96,0,3.92,0,0,0,0,0,0
