stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,30.65,337.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,9,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,60,1,4,0,0,0,0,0,0,0,49,0,0,0,0,0
 24-34,0,0,7.39,0,1.64,0,8.21,0,0,0,2.46,0,0,0,0,3.28,0,0,0,0.82,4.93,0,0,2.46,348.86,0.82,29.55,1.64,0,0,0,0,0,0,174.02,0,0,1.64,0,0
 36-46,0,0,3.22,0,3.22,0,83.79,0.81,0,0,3.22,0,0,0,0,5.64,0,0,0,0,5.64,0,0,1.61,1010.31,0,36.26,0,0,0,3.22,0,0,0,236.06,0,0,2.42,0,0
 48-58,0,0,2.87,0,4.02,0,251.9,0,0,0,10.9,0,0,0,0,4.02,0,0,0.57,0,9.75,0.57,0,1.72,1223.93,0,33.85,0,0,0,2.3,0,0,0,195.09,0,0,1.15,0,1.72
 60-70,0,0,1.96,0,1.96,0,688.05,0.98,0,0,40.24,0,0.98,0,0,5.89,0,0,1.96,0,12.76,0,0,0,1691.16,0,33.37,2.94,0,0.98,1.96,0,0.98,0,195.32,0.98,0,2.94,0.98,1.96
 72-82,0,0,5.89,0,12.76,3.93,576.24,0,0,1.96,49.08,0.98,0,0.98,0,5.89,0,1.96,0,0,24.54,0,0,0.98,1452.86,0,41.23,0.98,0,0,2.94,0,0,0.98,105.04,2.94,1.96,2.94,0.98,2.94
 84-94,0,0,2.12,0,20.18,0,358.97,1.06,2.12,2.12,40.36,6.37,0,0,1.06,10.62,2.12,0,3.19,1.06,26.55,0,3.19,1.06,721.12,1.06,50.98,5.31,0,0,3.19,0,0,0,63.72,3.19,1.06,2.12,0,0
 96-106,0,0,6.56,0,17.49,1.09,301.63,0,0,1.09,30.6,5.46,0,0,1.09,15.3,1.09,1.09,8.74,0,26.23,0,0,0,611.99,0,53.55,3.28,0,0,5.46,0,0,0,24.04,12.02,0,2.19,1.09,1.09
108-118,0,0,5.36,0,7.66,2.3,225.19,0,0,0.77,22.21,1.53,0,0,2.3,22.98,0,0,13.79,0,9.96,0.77,0.77,0,638.05,0,38.3,4.6,0,0,3.06,0,0.77,0,24.51,31.4,0.77,3.06,0,1.53
120,0,0,1.96,0,11.76,5.88,197.94,0,3.92,1.96,23.52,1.96,0,0,0,9.8,0,1.96,17.64,0,15.68,0,1.96,1.96,727.08,0,35.28,3.92,0,0,0,0,1.96,0,37.24,5.88,0,0,0,0
