stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,18.39,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,21.34,1.64,0,0,0,0,0,2.46,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,38.67,0,0,0,0,0,0,4.83,0,0
 48-58,0,0,0,0,2.87,0.57,1.15,0,0.57,0,0,1.72,0.57,68.86,0,1.15,0,0,0.57,0,10.33,0,0.57
 60-70,0,0,0,0,0.98,0,2.94,0.98,0,0,0,0.98,0,71.65,0,0,0,0,0,0,9.82,0,0
 72-82,0,0,0,0,4.91,0,2.94,0,0,0,0.98,3.93,0,97.18,0,0,0,0,0,0,4.91,0,0
 84-94,0,0,1.06,1.06,6.37,0,0,0,0,2.12,0,0,0,57.35,0,0,0,0,0,0,3.19,0,0
 96-106,0,0,1.09,0,2.19,0,2.19,0,0,0,0,1.09,0,31.69,0,1.09,0,0,0,0,2.19,0,0
108-118,0,0,0.77,0,1.53,0,0,0,0,0.77,0,0,0,42.89,0,0,0,0.77,0,0,0.77,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,41.16,0,0,0,0,0,0,1.96,1.96,0
