stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,liver,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82
 36-46,0,0,0.81,0,0,0,0,0,1.61,0,0,0,0.81
 48-58,0,0,1.15,0,0.57,0,0,0,1.72,0,0,0,1.15
 60-70,0,0.98,6.87,0,1.96,0,0,0,0.98,0,0,0,1.96
 72-82,0,0,21.6,0.98,1.96,0,0,0.98,0,0,0,0,0
 84-94,0,0,18.05,0,0,0,1.06,0,2.12,0,0,0,1.06
 96-106,0,0,24.04,0,0,1.09,1.09,0,1.09,0,0,0,1.09
108-118,0,0,21.45,0.77,0.77,0,0.77,0,0.77,0,0.77,0,0
120,0,0,29.4,0,0,0,0,0,3.92,0,0,0,0
