stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,25.18,0,0,6.29,0,3.15,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,1,3,0,0
 24-34,0,0.82,0.82,0,0.82,0.82,0,0,0,0,0,0,0.82,0,1.64,51.71,0,0,0,0,0,0.82,18.88,0,0
 36-46,0,0,0,0,0,2.42,0,0,0,0,0,0,0.81,0,0,35.45,0,0,0,0,0,0,9.67,0.81,0.81
 48-58,0,0,0,0,0,2.87,3.44,0,0.57,0,0,0.57,1.72,0,0,32.71,0,0.57,0,0.57,0,0,1.72,0.57,0
 60-70,0,0,0,0,0,2.94,5.89,0.98,0,0,0,0,0,0,0,40.24,0,0,0,0,0,0,3.93,0,0
 72-82,0,1.96,0,0,0,4.91,14.72,2.94,0,0,0.98,0,4.91,0,0,64.79,0,2.94,0,0,0,0,3.93,0,0.98
 84-94,0,2.12,0,0,0,7.43,9.56,2.12,0,0,0,0,0,0,0,39.3,0,0,0,1.06,0,0,2.12,0,0
 96-106,0,2.19,0,1.09,0,2.19,5.46,0,0,1.09,0,0,4.37,0,0,43.71,1.09,1.09,0,0,0,0,2.19,0,0
108-118,0,3.06,0,0.77,0,5.36,3.06,4.6,0,0,0,0.77,3.83,0.77,0,48.26,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,1.96,3.92,5.88,3.92,0,0,0,0,0,0,0,62.71,0,1.96,0,0,0,0,0,0,0
