stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0
 14-21,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0,1,5,2,2,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,1.64,0,0,2.46,0,5.75,0,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,6.45,0,0,0,0.81
 48-58,0,0.57,0,1.72,0,0,0.57,0,0,0,0,0,1.72,0,0,5.16,0,5.74,0,0,0,1.15
 60-70,0,0,0,0.98,0.98,0,0.98,0,0,0,0,0,1.96,0,0,0,0,7.85,0,0,0,0
 72-82,0,0.98,0,0,0,0,0,0,0,0.98,0.98,0,0.98,0,0,2.94,0,5.89,0,0,0,0.98
 84-94,0,2.12,0,1.06,0,0,1.06,0,0,1.06,0,1.06,1.06,0,0,1.06,1.06,21.24,0,0,0,0
 96-106,0,2.19,0,0,0,1.09,1.09,1.09,0,0,0,0,0,0,0,2.19,0,20.76,0,0,0,1.09
108-118,0,2.3,0,0.77,0.77,0,1.53,0,0,0,0,0,0.77,1.53,0,0,0,21.45,0,0,0,0
120,0,3.92,0,0,1.96,0,0,0,1.96,0,1.96,0,0,0,0,1.96,0,29.4,0,0,0,0
