stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,75.53,3.15,0,0,18.88,0,0,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,3,0,11,0,0,4,0,1,0,39,1,0,0,0,0,0,5,0,3,70,1,0,14,6,0,0,4,36,0,5,131,0,0,1,0,0
 24-34,0,0,0.82,4.1,0,0,7.39,0,0,0,28.73,0,0,0,0,0.82,0.82,4.93,0,4.1,67.31,0,12.31,3.28,0,0,0,0,9.85,0,4.93,72.24,0,0,4.93,0,0
 36-46,0,0,0,0,0,0,8.06,0,0.81,0,21.75,0.81,0.81,0,0,0.81,0,8.06,0,0.81,41.89,0,16.92,3.22,0,0,0.81,0,8.06,0.81,0,50.76,0,0,0.81,0,1.61
 48-58,0,0,0,0.57,0,0,10.33,0,0,0,20.08,0,0,0,0,2.3,0,9.18,0.57,1.72,25.25,0,9.75,2.87,0,0,1.15,0,1.72,0,0,39.59,0,0,1.72,0,0
 60-70,0,0.98,0,0,0,0,13.74,0.98,0,0,34.35,0.98,0,0,0,2.94,0,14.72,0,0.98,19.63,0,8.83,2.94,0,0,0,0,0.98,0,0,15.7,0,0,1.96,0,0
 72-82,0,0.98,0,1.96,0,0,10.8,0,0.98,0,43.19,1.96,0,0.98,0,3.93,0,22.58,0.98,1.96,18.65,0,22.58,9.82,0,0,1.96,0,0.98,0,0,14.72,0,1.96,2.94,1.96,0
 84-94,0,0,0,4.25,0,0,10.62,0,2.12,0,37.17,2.12,0,1.06,0,5.31,0,6.37,1.06,1.06,13.81,0,19.12,9.56,0,1.06,1.06,0,2.12,0,0,14.87,1.06,2.12,0,1.06,0
 96-106,0,0,0,0,0,1.09,13.11,0,0,1.09,24.04,1.09,1.09,1.09,1.09,10.93,0,6.56,1.09,2.19,14.21,1.09,31.69,18.58,0,0,3.28,0,2.19,0,0,8.74,0,0,1.09,0,1.09
108-118,0,0,0.77,3.06,0.77,0,7.66,0,2.3,0,10.72,2.3,0.77,0,0,6.13,0.77,9.19,0.77,2.3,6.13,0,15.32,13.79,0,0.77,0,0,3.06,0,0,5.36,0.77,0,1.53,0,0
120,0,0,0,1.96,0,0,3.92,1.96,1.96,0,19.6,0,0,0,1.96,0,0,3.92,3.92,0,11.76,0,11.76,3.92,0,0,1.96,0,3.92,0,0,3.92,0,0,1.96,0,0
