stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,275.83,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,7.89,0,0,26.29,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,170.87,2.63,0,0,65.72,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,3.15,0,6.29,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,132.17,3.15,0,0,31.47,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,15,0,0,0,0,0,1,1,0,0,6,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0.82,0,0,0,0,26.27,0,0,0,0,0,0,0,0,0,3.28,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,1.61,0,0,0,0,0,0,0,0.81,0,0,0,16.92,0.81,0,0,0,0,0,0,0,0.81,2.42,0,0,0
 48-58,0,0,0,0.57,0,1.15,0,0,0,1.15,0,0.57,0,0,0,0,0,5.74,0,0.57,0,10.9,0,0,0,0,0,0,0,0,0,1.15,0.57,0,1.72
 60-70,0,0,0,0.98,0,2.94,0,0,0,4.91,0,0,0,0,0,0,0,69.69,0,1.96,0,17.67,0,0,0,0,0.98,0,0,0,0,2.94,0.98,0,0
 72-82,0,0,0,1.96,0,4.91,0,0,0.98,3.93,0,0,0,0,0,1.96,0,304.32,0,5.89,0.98,12.76,0,0.98,1.96,0,1.96,0,0,0,0,2.94,1.96,1.96,3.93
 84-94,0,0,0,3.19,0,4.25,1.06,0,0,1.06,1.06,0,1.06,1.06,0,1.06,0,263.39,1.06,6.37,0,8.5,1.06,0,0,0,1.06,0,0,1.06,0,0,1.06,5.31,1.06
 96-106,0,0,0,5.46,1.09,7.65,0,0,1.09,3.28,0,0,0,1.09,0,1.09,0,233.87,0,10.93,1.09,12.02,0,0,0,0,2.19,1.09,0,0,0,0,2.19,4.37,5.46
108-118,0,0,0,4.6,0,4.6,0,0.77,1.53,0.77,0.77,0,0,1.53,1.53,1.53,0,245.11,0,6.89,0,18.38,0,0,0,0,1.53,3.83,0,0.77,0,0,0,1.53,6.13
120,0,0,0,7.84,1.96,3.92,0,0,0,1.96,0,0,0,0,0,3.92,0,192.06,0,5.88,0,9.8,1.96,0,0,0,0,1.96,0,5.88,0,1.96,3.92,9.8,0
