stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,2.63,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,9.44,0,0,75.53,0,3.15,0,0,37.76,0,0,0,0,0,0
 14-21,0,0,1,3,5,0,1,0,0,0,0,0,0,13,0,1,0,0,0,9,0,11,34,3,0,0,1,0,172,1,511,913,29,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,9.03,211.78,0.82,0,2.46,0,0,9.03,0,0,0,0,0,8.21,0,27.09,98.5,0,0,0,0,6.57,0.82,0,256.93,335.73,36.12,0,0,2.46,0,1.64
 36-46,0,0,0,0,0.81,0.81,16.11,390.75,0,0,4.03,0,0,6.45,0.81,0,0,0.81,0.81,14.5,0,19.34,93.46,2.42,0.81,0.81,0.81,0.81,0.81,0,184.5,20.14,21.75,0,0,0.81,0,1.61
 48-58,0,0,0,0,1.72,1.15,24.1,343.14,0,1.72,6.89,0.57,0.57,2.3,0,0,0.57,0.57,0,13.2,0.57,31.56,74.59,0,0.57,0,0,0,0,0,141.73,0,25.82,0,0,1.15,0,3.44
 60-70,0,0,0.98,0,0,0,23.56,217.9,0.98,0.98,1.96,0.98,0,2.94,0.98,0,0,0,0.98,7.85,0,30.43,49.08,0,0,0.98,0.98,0.98,0,0,79.5,0,8.83,0,0.98,0.98,0,0.98
 72-82,0,0,1.96,0,0,1.96,21.6,132.52,0,0.98,7.85,2.94,0,1.96,0,0.98,0,0,0,6.87,0,25.52,35.34,0,0.98,0,0.98,0,0,0,44.17,0,7.85,0.98,0.98,0.98,0,0.98
 84-94,0,0,0,0,2.12,0,14.87,197.54,0,2.12,4.25,0,0,3.19,0,0,0,0,0,5.31,0,19.12,26.55,0,0,1.06,0,4.25,0,0,63.72,0,2.12,0,1.06,1.06,1.06,1.06
 96-106,0,0,3.28,0,0,3.28,17.49,205.46,1.09,0,8.74,1.09,0,9.84,1.09,0,1.09,2.19,0,10.93,1.09,16.39,24.04,0,0,1.09,1.09,5.46,0,0,48.09,0,0,0,1.09,2.19,3.28,0
108-118,0,0,0.77,0,1.53,0,12.26,171.58,0,0,6.13,2.3,0,4.6,0,0.77,0,0.77,0,2.3,0,17.62,21.45,0,0.77,0,0,1.53,0,0,44.43,0,2.3,0,2.3,0.77,0.77,0
120,0,0,1.96,0,1.96,0,5.88,80.35,0,0,3.92,3.92,0,3.92,1.96,1.96,0,0,0,3.92,0,23.52,11.76,0,0,0,0,0,0,0,15.68,0,0,0,1.96,0,0,0
