stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,13,3,0,5,0,0,1,2,0,0,0,0,0,0,0,2,0,0,4,27,2,0,2,4,0,1,0,1,12,0,0,0,0,0
 24-34,0,7.39,0.82,0,4.93,0,0,2.46,0,0,0,0.82,0,0,0,0.82,7.39,0.82,0,4.1,73.06,3.28,0.82,0.82,0,0,0,0,4.1,16.42,0,0,5.75,0,0
 36-46,0,1.61,0,0,8.06,0,1.61,3.22,0,0,0,0,0,0,0,0,8.06,0.81,0,4.83,40.28,0.81,0.81,0,0,0.81,0,0.81,0,7.25,0,0,6.45,0,0
 48-58,0,0.57,0,0,17.79,0.57,3.44,6.31,0,0.57,1.15,0,0.57,0,0,0,24.67,1.72,0,8.03,41.89,0.57,0.57,1.15,0,1.72,0,0,0,13.2,0,0,1.72,0,0.57
 60-70,0,0.98,0,0,22.58,0,0,5.89,0.98,0,0.98,0.98,0,0,0,0,28.46,0,0,0.98,33.37,0,0,0,0,0.98,0,0,0,4.91,0,0.98,0,0,0.98
 72-82,0,0.98,0.98,0,19.63,0,0.98,3.93,0,0,5.89,0,0,0.98,0,0,29.45,0,0,2.94,28.47,0,0,0.98,0,0,0,0,0,3.93,0.98,0.98,3.93,0,0
 84-94,0,1.06,0,0,16.99,1.06,3.19,3.19,0,0,11.68,0,0,0,0,0,18.05,0,0,0,15.93,0,0,0,0,0,0,0,0,3.19,0,0,6.37,0,0
 96-106,0,0,0,0,8.74,0,0,1.09,0,0,9.84,0,0,0,0,0,9.84,0,0,0,16.39,0,0,0,0,0,0,0,0,0,0,0,7.65,1.09,1.09
108-118,0,0.77,0,1.53,3.83,0,0,3.83,0,0,9.96,0.77,0.77,0,0.77,0,8.43,0.77,0.77,0.77,9.96,0,0,2.3,0,0.77,0,0,0,0,0,0,3.83,0,0
120,0,0,1.96,0,5.88,0,1.96,0,1.96,0,23.52,0,0,0,0,0,3.92,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0
