stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,periderm,pronephros,spinal_cord,vasculature
 14-21,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
 24-34,2.46,2.46,0,0,0,0,0,1.64,0,0,0.82,0,0,0,0.82,0,0,0,0,1.64
 36-46,1.61,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0
 48-58,1.15,0,0,0,0,0,0,0,0,0,1.72,0,0,1.72,1.15,0,0,0,0,0.57
 60-70,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,0.98,0,0,2.94,0,0,0.98
 72-82,7.85,0,0,0.98,0,0,0,10.8,0,0,6.87,0,0.98,0,0,0.98,13.74,0,0,0
 84-94,10.62,0,0,0,0,0,1.06,11.68,1.06,0,2.12,1.06,0,0,0,0,41.42,0,0,0
 96-106,8.74,0,0,1.09,1.09,1.09,0,22.95,0,0,5.46,0,0,0,4.37,0,15.3,0,1.09,2.19
108-118,16.09,0.77,1.53,0,0,0,0.77,19.92,0.77,0.77,3.83,0,0,1.53,1.53,0,11.49,0,0,1.53
120,5.88,0,0,0,0,0,0,25.48,0,0,3.92,0,1.96,3.92,9.8,0,0,0,0,0
