stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,18.39,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,39.43,0,0,0,15.77,0,2.63,0,0,0,0,0,0
 10-12,0,6.29,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,1,1,0,0,0,3,0,0,0,0,0,1,0,0,0,1,30,2,0,0,0,0,0,2,2,9,0,0,0
 24-34,0,0,0,0,0,3.28,0,0,0,0,0.82,0,0.82,0,0,0,4.1,0,0,2.46,26.27,0,0.82,0,0,0.82,0,0,0,4.1,0,0.82,0
 36-46,0,0,0,0,0,3.22,0,0,0,0.81,0,0,0,0,0,0,0.81,0,0,0,18.53,0,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0.57,0,6.31,0,0,0,0.57,0,0,0.57,0.57,0.57,0,4.02,0,0.57,0.57,21.23,0,0,0,0,0,0,0,0,4.02,0,0.57,0
 60-70,0,0,0,0,0,1.96,0,0,0,2.94,0.98,0,0,0,0,0,0.98,0,0,0,11.78,0,0,0,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,0.98,0,3.93,0.98,0,0.98,3.93,0,0,0,0,0,0,0.98,0.98,0,0,14.72,0,0,0,0,1.96,0,0,0,0.98,0,0.98,0
 84-94,0,0,0,1.06,0,4.25,1.06,1.06,0,1.06,0,0,0,0,0,0,3.19,0,0,1.06,11.68,0,0,0,0,3.19,0,0,0,2.12,1.06,0,0
 96-106,0,0,0,1.09,0,4.37,0,0,0,5.46,1.09,0,0,0,0,0,4.37,0,0,0,7.65,0,1.09,0,0,1.09,0,0,0,2.19,0,0,0
108-118,0,0,0,0.77,0,4.6,0,0,0,3.06,0,0,0,0,0,0,1.53,0,0.77,0,13.02,0,0.77,0.77,0,0,0,0,0,0,0.77,1.53,0.77
120,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,3.92,0,0,1.96,15.68,0,0,0,0,1.96,0,0,0,0,0,0,0
