stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,4,0,0,2,23,1,0,0,1,0,2,0,2,0,1,9,0,0,0,0
 24-34,0,0,0,1.64,0,0,9.03,0,0,0,1.64,1.64,0,0.82,0,1.64,0,0,2.46,0,0,2.46,37.76,0,0,0,0,0,1.64,0,0,0,0.82,11.49,0,0.82,0,0
 36-46,0,0,0,2.42,0,0,8.86,0,0,0.81,4.83,0,0,0,0.81,0,0,0,4.03,0,0.81,1.61,29,0,1.61,0,0,0,1.61,0.81,0,0,0,10.47,0,0.81,0,0
 48-58,0,0,0,1.15,0,0,11.48,0,0.57,0,2.3,0,0,0,0,0.57,0,0,9.18,0,0,0.57,20.66,0,0,0,0,0.57,1.15,0,0,1.15,0,5.74,0,0.57,0,0.57
 60-70,0,0,0,0.98,0,0,15.7,0,0,0.98,8.83,0,0,0,0,0.98,0,0,15.7,0,0,0.98,32.39,0,0,0,0,0,0.98,0,0,1.96,0,3.93,0,0,0,0
 72-82,0,0.98,0,0,0.98,0,24.54,0,0,0.98,8.83,0.98,0,0,0,0.98,0.98,0.98,27.49,0,1.96,3.93,30.43,0.98,0,1.96,0,0,2.94,0,0,2.94,0,2.94,4.91,0,1.96,0
 84-94,0,0,0,3.19,2.12,0,20.18,0,1.06,1.06,11.68,1.06,0,0,1.06,0,0,0,25.49,1.06,1.06,0,19.12,1.06,0,3.19,0,0,1.06,0,0,5.31,0,2.12,6.37,0,0,0
 96-106,0,0,0,0,1.09,0,16.39,0,1.09,2.19,13.11,1.09,0,2.19,0,0,1.09,0,25.14,1.09,0,1.09,13.11,0,1.09,3.28,0,0,2.19,0,0,5.46,0,2.19,1.09,3.28,0,1.09
108-118,0,0,0,2.3,1.53,0.77,10.72,0.77,0.77,0,16.09,1.53,3.06,0,0,0,0,0,19.15,0,0,3.83,29.11,0.77,2.3,0,0,0,3.06,0,0,8.43,0,3.06,4.6,0,1.53,1.53
120,0,0,0,1.96,1.96,0,7.84,0,1.96,1.96,15.68,1.96,3.92,0,0,0,1.96,0,27.44,0,1.96,1.96,25.48,1.96,0,5.88,0,0,5.88,0,0,7.84,0,0,0,0,1.96,0
