stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,9.44,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,2,0,6,0,0,0,0,0,3,0,0,0,0,0,1,1,6,0,0,1,38,7,0,1,0,0,6,3,1,1,6,16,0,0,5,0,0
 24-34,0,0.82,0.82,3.28,0,0,12.31,0,0,0,3.28,0.82,0,3.28,0,1.64,0,0,0,3.28,23.8,0,0,2.46,94.4,11.49,0.82,0.82,0,0,13.95,0,1.64,0,0.82,32.83,0,0,32.01,0,0.82
 36-46,0,0.81,0,2.42,0,0,17.72,0.81,1.61,0.81,4.83,0,0,0.81,0,0,0,0,0.81,9.67,16.11,0,2.42,2.42,178.86,12.89,3.22,1.61,0,0,7.25,0,0,0,0,45.12,0,0,17.72,0,0
 48-58,0,0,0,5.16,0,0,22.95,0,1.15,1.72,11.48,0,0.57,4.02,1.15,0,0,0,0.57,18.94,38.44,0,3.44,5.16,223.78,11.48,1.72,1.72,0,0,10.9,0,0,0.57,0,35.58,0,0,18.36,0,1.72
 60-70,0,0,0,4.91,0,0,59.87,2.94,1.96,2.94,12.76,0,0,10.8,2.94,0.98,2.94,0,0,10.8,36.32,3.93,8.83,4.91,338.63,6.87,1.96,0.98,0,0.98,13.74,0,1.96,1.96,0,27.48,0,0,25.52,0,1.96
 72-82,0,0.98,0,6.87,0.98,0,304.32,1.96,1.96,3.93,33.38,0.98,0,8.83,4.91,0.98,3.93,1.96,0,21.6,82.46,0.98,14.72,5.89,463.34,5.89,4.91,5.89,0,0.98,18.65,0,2.94,0,0,27.49,0.98,8.83,45.16,4.91,2.94
 84-94,0,1.06,0,3.19,0,0,198.6,2.12,1.06,0,11.68,3.19,1.06,3.19,2.12,6.37,5.31,0,1.06,49.92,61.6,2.12,13.81,2.12,213.47,7.43,5.31,5.31,0,1.06,43.54,0,2.12,0,0,14.87,1.06,8.5,36.11,5.31,2.12
 96-106,0,0,0,17.49,0,1.09,245.89,1.09,2.19,0,33.88,13.11,0,4.37,14.21,1.09,7.65,1.09,6.56,37.16,43.71,2.19,7.65,2.19,202.18,8.74,9.84,4.37,0,1.09,54.64,0,4.37,0,0,5.46,0,7.65,39.34,5.46,3.28
108-118,0,0,0,15.32,4.6,6.13,206.81,0,4.6,2.3,22.21,4.6,0,2.3,1.53,2.3,12.26,2.3,3.83,55.92,36,2.3,5.36,9.19,253.53,13.79,9.96,2.3,0,3.06,36.77,0,7.66,2.3,0,6.89,0,0.77,35.23,0.77,1.53
120,0,0,0,19.6,5.88,1.96,213.62,0,0,1.96,31.36,17.64,0,1.96,3.92,3.92,7.84,3.92,3.92,15.68,50.95,0,5.88,7.84,292.01,21.56,7.84,9.8,0,3.92,21.56,0,0,1.96,0,1.96,0,0,33.32,1.96,3.92
