stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0.82,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.85,0,0,0.82,0,11.49,0,5.75,0,0.82,0,0
 36-46,0,4.03,0,0.81,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0.81,29,1.61,0,0,0,8.86,0,1.61,0,0.81,0,0
 48-58,0,0.57,0,2.87,0,0,0,1.15,0,0.57,0.57,0,0,0,0,5.74,0,0.57,24.1,1.72,0,0,0,5.74,0.57,1.72,0,0,0,0
 60-70,0,0.98,0,6.87,0,0,0,3.93,0,0,0,0,0,0,0.98,5.89,0,0,38.28,0,0,0,0,1.96,0.98,6.87,0,0.98,0,0.98
 72-82,0,0,0,10.8,0,0,0,4.91,0,0,0,0,0,0.98,0,9.82,0,0,38.28,0,0,0.98,0,0.98,0,5.89,0.98,0,0,0.98
 84-94,0,0,0,9.56,0,0,1.06,3.19,0,0,0,0,0,0,0,6.37,0,0,16.99,0,0,0,0,1.06,0,0,1.06,0,0,0
 96-106,0,2.19,1.09,6.56,1.09,0,0,8.74,3.28,0,0,1.09,0,0,0,5.46,0,0,12.02,0,1.09,0,0,4.37,0,0,0,1.09,1.09,0
108-118,0,4.6,0,6.89,0,2.3,0,6.13,0.77,0,0,0.77,0,0,0,4.6,0,0.77,20.68,1.53,0,0,0.77,9.19,0,1.53,0.77,0.77,0,0
120,0,5.88,0,0,0,1.96,0,1.96,0,0,0,1.96,1.96,0,0,3.92,1.96,0,9.8,1.96,0,0,0,1.96,0,0,0,0,0,0
