stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
 14-21,0,0,1,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,9,0,0,0,1,0,2,1,1,6,8,0,0,0
 24-34,0,0.82,0,1.64,0,0,0.82,0,0,0,0,0.82,0,0,0,0.82,0,0.82,0,0,0.82,22.16,0.82,0.82,0,0,0,0,0.82,0,0.82,4.1,0,0,0.82
 36-46,0,0,0,0.81,0.81,0,6.45,1.61,0.81,0,0.81,4.83,0,0,0,0.81,0,5.64,0,0,0.81,44.31,0,0,0,0,0,0,0,0,0.81,4.83,0,0,0
 48-58,0,0.57,0,0,0,0,6.89,0,0,0,0.57,28.69,0,0,0,0.57,2.87,3.44,0,0,0.57,34.43,0.57,0,0.57,0,0.57,0,0,0,0,1.72,0,0,0
 60-70,0,1.96,0,0,0,0,14.72,0,0,0.98,6.87,69.69,0,1.96,0.98,0,0,2.94,0,0,1.96,23.56,0.98,0,0.98,0,0.98,0,0,0,0,1.96,0,0,0
 72-82,0,32.39,0,0.98,1.96,0,13.74,0,0,0,35.34,202.22,0,1.96,0.98,0.98,1.96,9.82,0,0,0,53.99,0.98,0,0,0,3.93,0,0,0,0,3.93,0.98,0,0.98
 84-94,0,31.86,1.06,2.12,1.06,0,8.5,0,0,0,23.36,364.28,0,0,0,1.06,1.06,5.31,0,0,2.12,21.24,1.06,1.06,0,0,3.19,0,2.12,0,0,3.19,1.06,1.06,1.06
 96-106,0,29.51,0,3.28,1.09,0,14.21,0,0,0,50.27,446.97,0,1.09,0,3.28,0,4.37,1.09,1.09,0,57.92,0,0,0,0,5.46,0,5.46,0,0,0,8.74,0,0
108-118,0,16.09,0,4.6,0,1.53,12.26,0,0.77,0,32.17,406.73,1.53,1.53,0.77,1.53,0.77,4.6,0,0,0,43.66,1.53,1.53,0,0,3.06,0,1.53,0,0,0,6.13,0,2.3
120,1.96,7.84,0,0,0,0,5.88,0,0,0,13.72,309.65,0,0,0,3.92,0,5.88,0,0,1.96,43.12,0,0,0,0,3.92,0,0,0,0,0,5.88,0,0
