stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,869.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,612.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,18.39,0,0,6.13,0,30.65,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,18.4,0,21.03,0,0,44.69,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,391.68,7.89,0,0,178.75,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,22.03,0,3.15,47.2,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,308.4,9.44,0,0,151.05,0,0,9.44,0,15.73,3.15,0,0,0,0,0,0
 14-21,0,0,0,4,16,3,8,0,0,0,2,0,0,0,0,1,0,1,0,10,0,1,125,5,0,0,2,0,4,1,15,0,9,47,0,0,0,0,0
 24-34,0,0,0,0,4.93,1.64,30.37,0,0,0,6.57,0,0,0.82,0,0.82,0.82,1.64,0.82,24.63,0.82,9.03,307,2.46,7.39,0.82,0,0,5.75,0,0,0.82,3.28,62.39,0,0,4.1,0,0
 36-46,0,0,0,0,0.81,1.61,95.87,0,0,0,6.45,0,0,0,0,0,0.81,0,0,23.36,0,4.83,229.62,0,0.81,0,0,0,3.22,0,0,0.81,0,38.67,0,0,0,0,0
 48-58,0,0,0,0,0,0,138.29,0,1.72,1.15,6.89,0,0,0,0,0.57,0,0,0,29.26,0.57,5.74,196.24,0,2.3,2.87,0,0,1.15,0,0,0.57,0,29.26,0,0,0.57,0,0
 60-70,0,0,0,0,4.91,0,167.84,0,0,0,11.78,0,0,0,0.98,0.98,0,0,0,16.69,1.96,1.96,194.34,0,1.96,0,0,0,2.94,0,0,0.98,0,24.54,0,0,1.96,0,0
 72-82,0,0,0,0,0.98,0.98,118.78,0.98,0,2.94,23.56,1.96,0,0,1.96,0,0.98,0,0,27.49,0.98,1.96,175.72,0.98,1.96,0,0,0,0.98,0,0,0,0,7.85,0.98,0,5.89,0,0
 84-94,0,0,0,0,2.12,1.06,101.96,0,1.06,2.12,7.43,0,0,0,1.06,0,0,1.06,0,6.37,1.06,1.06,83.9,1.06,0,2.12,0,0,3.19,0,0,0,0,5.31,1.06,0,0,0,0
 96-106,0,0,1.09,0,4.37,3.28,60.11,0,1.09,0,9.84,2.19,0,0,0,0,0,1.09,0,15.3,0,2.19,83.06,1.09,3.28,1.09,0,0,3.28,0,0,1.09,0,2.19,0,0,2.19,0,1.09
108-118,0,0,0.77,0,3.83,0.77,58.98,0,0.77,0,13.02,0.77,0,0,3.83,0,1.53,0.77,0,17.62,2.3,2.3,84.26,0,1.53,0,0,0.77,3.06,0,0,0,0,4.6,0.77,0.77,3.83,1.53,0
120,0,0,0,0,3.92,5.88,33.32,0,0,0,19.6,0,0,1.96,0,0,0,0,0,9.8,0,1.96,86.23,0,0,0,0,0,3.92,0,0,0,0,1.96,0,0,0,0,0
