stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.31,0,0,0,0,0,0,0,0,0,0,0
  5-6,104.2,349.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.17,12.26,0,0,0,0,42.91,0,0,0,0,0,0,0,0,0,0,0
  7-9,23.66,2.63,0,147.21,0,0,0,18.4,0,0,0,0,0,55.2,0,0,0,0,0,0,0,0,0,0,270.76,7.89,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,50.35,0,0,0,3.15,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,3.15,534.98,3.15,0,0,201.41,0,0,0,9.44,18.88,0,15.73,0,0,0,0,0,0
 14-21,0,0,2,7,39,15,0,1,0,0,0,1,1,0,1,0,1,0,0,0,29,0,0,252,294,1,48,7,0,0,1,0,206,15,0,1560,189,0,0,0,0,0
 24-34,0,0,1.64,0,11.49,0.82,0,6.57,0,0.82,0,0.82,0,0,0,0,0,0,0,0,37.76,0,0.82,165.81,753.55,0,79.62,0.82,0,0,0.82,0,2.46,2.46,0,145.29,142.01,0,0,0,0,0
 36-46,0,0,0,0,11.28,1.61,0,16.92,0.81,0,0,0.81,0,0,1.61,0,0,0,0,0,101.51,0.81,0.81,78.96,1739.44,0,66.06,0,0,0,0,0,0.81,0.81,0.81,0,228,0,0,0.81,0,0
 48-58,0,0,0,0,8.03,0.57,0,49.35,1.15,0.57,0.57,17.21,0.57,0.57,1.72,0,0,1.72,0,0.57,77.46,0.57,0,65.99,1816.67,0,51.64,0.57,0,0,2.87,0,0,1.72,0,0,236.41,0,0.57,1.72,0,1.15
 60-70,0,0,0,0,5.89,0.98,0,37.3,0,0,0.98,11.78,0,0,0,0,0,0,0,0.98,50.06,0.98,1.96,59.87,1309.35,0.98,40.24,0,0,0,0.98,0,0,0.98,0.98,0,141.34,0,0,0.98,0,0.98
 72-82,0,0,0,0,9.82,32.39,0,64.79,0,0,1.96,18.65,0,0,0.98,0,0,0,0,0,83.44,0.98,0.98,87.37,948.29,0,72.64,1.96,0,0,0.98,0.98,0,3.93,0,0,49.08,0,0,0,0.98,0.98
 84-94,0,0,0,0,16.99,20.18,0,76.47,1.06,0,2.12,18.05,3.19,0,0,1.06,2.12,0,0,0,73.28,0,1.06,82.84,507.65,1.06,89.21,2.12,0,1.06,1.06,0,0,0,0,0,41.42,0,0,1.06,0,1.06
 96-106,0,0,2.19,0,16.39,20.76,1.09,41.53,0,1.09,1.09,10.93,3.28,0,0,3.28,1.09,0,2.19,1.09,53.55,0,0,76.5,399.98,0,154.09,1.09,0,0,2.19,0,0,4.37,0,0,10.93,0,0,0,1.09,2.19
108-118,0,0,0.77,0,5.36,11.49,0,21.45,0,0,1.53,6.89,2.3,0,0,1.53,0.77,0,0.77,0,49.02,0,0.77,83.49,457.28,0,83.49,0.77,0,0,0,0,0,0.77,0,0,4.6,0.77,0,0,0,0.77
120,0,0,0,0,11.76,9.8,0,45.08,1.96,0,0,11.76,1.96,0,0,0,3.92,0,1.96,0,31.36,0,0,78.39,405.68,0,45.08,3.92,0,1.96,1.96,1.96,0,0,0,0,5.88,0,0,1.96,0,0
