stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,taste,vasculature
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0.82,0,1.64,0,9.85,0,0,0,0.82,1.64,0,0.82
 36-46,0,0.81,0,0,0.81,0,0,0,0,0,0,0,2.42,0,7.25,0.81,0,0,0,0.81,0,0
 48-58,0,0,0,0,1.15,0,0,0,0.57,0,0.57,0.57,0.57,0,3.44,0,0,0,0.57,0,0,0.57
 60-70,0,0.98,0,0,1.96,0,0,0,0,0,0,0,0.98,0,1.96,0,0,0.98,0,0,0,0
 72-82,0,0.98,0.98,0,8.83,0.98,0,0,1.96,0,0,0,0.98,1.96,14.72,0,0,0,0.98,1.96,0,1.96
 84-94,0,1.06,0,0,4.25,0,0,0,0,0,0,0,2.12,0,5.31,0,0,1.06,4.25,0,0,0
 96-106,0,2.19,0,0,2.19,0,0,0,1.09,0,0,0,1.09,0,1.09,0,0,0,4.37,0,1.09,0
108-118,0.77,1.53,0,1.53,3.83,0,1.53,0,0.77,0.77,1.53,0,1.53,0.77,2.3,0,0.77,0,2.3,0,0,0
120,0,0,0,0,1.96,0,0,1.96,1.96,0,0,0,1.96,0,3.92,0,0,0,1.96,1.96,0,0
