stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.73,15.73,0,0,28.32,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,2,9,63,0,2,0,0,0,12,2,0,0,0,0,0,0,0,0,9,0,0,7,74,0,0,0,2,0,0,1,5,2,182,0,21,0,0
 24-34,0,3.28,0,11.49,5.75,0,7.39,0,0,0,12.31,0,0,1.64,0,0,0,0,0,1.64,6.57,0,0,3.28,129.7,2.46,0,0,0,0,0.82,1.64,2.46,1.64,177.3,0,100.14,0,0.82
 36-46,0,0,0,1.61,0,0,41.09,0,0,0,19.34,0,0,1.61,0.81,0.81,0,0,0.81,4.03,2.42,0,0,0,188.53,0.81,0,0,0,0,1.61,0.81,0.81,0,196.58,0,68.48,0,2.42
 48-58,0,0.57,0,3.44,0,0,130.25,0,0.57,0.57,32.13,0,1.15,1.72,0.57,0,0,0.57,0.57,2.3,4.02,0,0,1.15,168.7,0,0,0.57,0,1.15,1.15,1.15,2.3,0,121.07,0,60.25,0,3.44
 60-70,0,0,0,3.93,0,0,210.05,0,0,0,88.34,0,0,0.98,2.94,0,0,0,0.98,2.94,12.76,0,0.98,2.94,180.6,0,0,1.96,0,0,0,2.94,1.96,0,96.19,0,53.98,0,1.96
 72-82,0,0.98,0.98,2.94,1.96,0,132.52,1.96,0.98,0,95.22,0.98,0,2.94,15.71,0.98,0,0,0,0.98,28.47,0,0.98,1.96,187.5,0,0,0,0,0,0.98,0,0.98,0,42.21,1.96,127.62,0.98,2.94
 84-94,0,2.12,0,9.56,1.06,0,106.2,0,2.12,0,74.34,0,0,1.06,11.68,0,0,0,0,9.56,9.56,1.06,3.19,2.12,106.2,0,1.06,2.12,0,0,1.06,3.19,1.06,0,23.36,2.12,100.89,3.19,1.06
 96-106,0,5.46,0,2.19,4.37,0,77.59,1.09,0,1.09,66.66,5.46,0,3.28,29.51,0,0,0,2.19,5.46,20.76,0,2.19,0,95.08,1.09,0,0,0,0,0,1.09,3.28,0,10.93,3.28,103.82,5.46,3.28
108-118,0,2.3,2.3,3.83,0.77,3.83,61.28,0,2.3,0,55.15,2.3,0,0.77,22.98,0,2.3,0,1.53,8.43,14.55,0,0,0,98.81,0,0,1.53,0,0.77,2.3,0.77,3.06,0,8.43,0.77,85.79,2.3,3.06
120,0,0,1.96,9.8,3.92,0,78.39,0,1.96,1.96,47.03,7.84,0,1.96,27.44,0,1.96,0,0,1.96,11.76,1.96,1.96,0,125.43,0,1.96,0,0,0,1.96,0,1.96,0,5.88,0,90.15,5.88,1.96
