stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,13.14,0,0,10.51,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,6.29,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0,1.61,0,0,0.81,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,1.15,0,0,0.57,0.57,0,0,0,0,0.57,0
 60-70,0,0,0,0,0.98,0,0,0.98,0.98,0,0,0,0,0,2.94,0,0.98,0,0,0,0,0,0,0.98,0.98
 72-82,0,0,0,0,0.98,0,1.96,0.98,2.94,0,0,0,2.94,0.98,5.89,0,2.94,0,1.96,0,0,0,0,10.8,0.98
 84-94,0,0,0,0,1.06,0,0,0,4.25,1.06,0,0,2.12,1.06,2.12,0,1.06,0,1.06,0,0,0,0,2.12,2.12
 96-106,0,0,1.09,0,0,0,4.37,0,5.46,1.09,1.09,0,1.09,2.19,4.37,0,0,0,2.19,0,0,0,0,8.74,4.37
108-118,0,0,0,0,1.53,0.77,0.77,0,4.6,0.77,1.53,0.77,1.53,3.06,3.83,0.77,3.06,0,0.77,0,0,0,0,2.3,0.77
120,0,0,0,0,0,0,0,0,9.8,1.96,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,3.92,0
