stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,24,7,0,12,0,1,0,4,2,0,0,0,2,0,0,10,0,0,4,111,1,2,1,6,0,0,7,0,1,15,27,0,0,4,0,0
 24-34,0,0,4.1,0,0,14.78,0,0,0,0,0,0,0,0,0.82,0.82,0.82,14.78,0.82,0,4.1,83.73,0,1.64,0.82,0,3.28,0,0,0,0,1.64,16.42,0,0,2.46,0,0
 36-46,0,0,0,0,0,20.14,0,0.81,0,2.42,0,0,0,0,0.81,0,0,11.28,0,0,2.42,26.59,1.61,1.61,2.42,0,1.61,0,0,0,0,0,9.67,0,0,0.81,0,0
 48-58,0,0,1.15,0,0,32.13,0,0,0.57,2.3,0,0,0,0,0.57,0,0,7.46,0,0.57,0.57,30.99,0,0.57,0,0,0.57,0,0,0,0,0,6.89,0,0,0,0,0
 60-70,0,0,1.96,0,0,83.43,0,0,1.96,1.96,0,0,0,0,0,0,0,12.76,0,0,2.94,45.15,0,0.98,0,0,1.96,0,0,0,0,0,4.91,0,0,1.96,0,0.98
 72-82,0,0,1.96,0.98,0,74.61,0,0,2.94,8.83,0,0,0,2.94,0,0,0.98,21.6,0.98,1.96,2.94,46.14,0,1.96,1.96,0,0.98,0,0,0,0,0,5.89,0,0,2.94,0.98,0
 84-94,0,0,7.43,0,0,27.61,1.06,0,1.06,3.19,1.06,1.06,1.06,2.12,1.06,0,0,12.74,0,2.12,0,9.56,0,2.12,0,0,11.68,0,0,0,0,0,0,0,1.06,3.19,0,1.06
 96-106,0,1.09,2.19,0,0,22.95,0,1.09,1.09,5.46,1.09,0,0,1.09,0,1.09,0,12.02,0,0,0,19.67,0,4.37,1.09,0,4.37,1.09,0,1.09,0,0,1.09,2.19,1.09,5.46,3.28,0
108-118,0,0,1.53,0,0.77,19.92,0,0.77,0,3.83,1.53,0,0,0.77,0.77,0,0,16.09,0,0,1.53,22.98,0,0.77,1.53,0,4.6,0,0,0,0,0,0.77,0,0,2.3,0,0
120,0,0,1.96,1.96,1.96,13.72,0,1.96,0,5.88,0,0,0,0,0,0,0,7.84,0,0,3.92,23.52,0,3.92,0,0,5.88,0,0,0,0,0,1.96,0,0,0,0,0
