stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,hatching.gland,ionocyte,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,39.43,0,0,2.63,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,107,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,0,0,0,3,0,0,1
 24-34,0,0,0,0,0,0,0,0,0,2.46,1.64,0.82,45.15,0,0.82,0,0,0,2.46,0,0,0
 36-46,0,0,0,4.83,0,1.61,0,0,0,4.83,0,0.81,88.62,0,0.81,0,0,0,1.61,0,0,0
 48-58,0,0,0,42.46,0,8.61,0,0,0,7.46,3.44,0,99.27,0,1.15,0,0.57,0,6.31,0,0.57,0
 60-70,0,0,0,65.76,0,17.67,0,0,0.98,0.98,0.98,0,55.95,0,0,0,0.98,0,2.94,0,0,0.98
 72-82,0,0,0,53.01,0,9.82,0,0,1.96,2.94,2.94,0,20.61,0,0,0,0.98,0.98,0,0,0,0
 84-94,0,0,0,25.49,1.06,1.06,0,0,0,2.12,1.06,1.06,10.62,0,0,0,0,0,0,1.06,0,0
 96-106,0,1.09,0,17.49,0,3.28,0,0,0,0,1.09,0,16.39,0,0,0,0,0,0,0,0,0
108-118,0,0,2.3,21.45,0,0.77,0,0,0,0,0.77,0,10.72,0,0,0,0,0,0,0,0,0
120,0,0,0,25.48,0,0,0,1.96,0,1.96,0,0,27.44,0,0,0,0,0,0,0,0,0
