stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,5,5,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,13,0,0,0,0,1,1,5,0,3,3,0,0,0,0
 24-34,0,0.82,0,0,6.57,0,0,0,0,0,0.82,0,0,0.82,0,2.46,1.64,1.64,0,0.82,22.16,0,0,0.82,0,2.46,0,11.49,0,0,3.28,0,5.75,0,0
 36-46,0,0.81,1.61,0,2.42,0,0,0,0,0,0,0.81,0,0,0,0,0,1.61,0,0.81,27.39,0,0.81,0,0,1.61,0,4.83,0,0,4.03,0,0.81,0,0
 48-58,0,0.57,1.72,0,2.87,0.57,0.57,4.59,0.57,0,0,0.57,0,0.57,0,0,1.15,4.59,0,1.15,16.64,0,0,1.15,0,0.57,0,4.59,0,0,3.44,0,0.57,0,1.15
 60-70,0,0,2.94,0,0,0,0,14.72,0.98,0,0,0.98,0,0.98,0,0.98,0,5.89,0,0,19.63,0,0,0,0,0,0,5.89,0,0,3.93,0,1.96,0,0
 72-82,0.98,0.98,6.87,0,5.89,0,1.96,24.54,3.93,0.98,0.98,0,0,3.93,0,3.93,0,17.67,0,0,10.8,0,0.98,0,0,0,0,12.76,0,0,1.96,0,4.91,0,0.98
 84-94,0,3.19,4.25,0,1.06,0,0,12.74,13.81,0,0,6.37,2.12,3.19,0,3.19,1.06,11.68,2.12,0,10.62,0,0,1.06,1.06,3.19,0,24.43,0,0,1.06,2.12,5.31,0,0
 96-106,0,2.19,9.84,0,5.46,0,3.28,10.93,18.58,0,2.19,6.56,0,2.19,0,3.28,0,16.39,0,0,9.84,1.09,0,3.28,0,6.56,0,17.49,0,0,0,0,3.28,1.09,3.28
108-118,0,2.3,10.72,0.77,3.06,1.53,1.53,12.26,29.11,0,0,4.6,1.53,5.36,0.77,4.6,0.77,8.43,1.53,0.77,13.79,0,1.53,0.77,0,4.6,0,13.79,0.77,0,2.3,0,3.06,0.77,2.3
120,0,7.84,11.76,1.96,9.8,0,0,3.92,37.24,0,1.96,5.88,0,3.92,1.96,5.88,0,9.8,0,0,13.72,0,1.96,0,0,1.96,0,15.68,0,0,0,0,0,0,3.92
