stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,97.56,0,0,0,12.59,0,0,0,6.29,0,0,0,0
 14-21,0,0,0,0,22,3,1,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,29,1,1,199,1,0,1,1,1,2,7,6,0
 24-34,0,0,0.82,0,3.28,0.82,5.75,0,0,0.82,3.28,0,0.82,0,0,0,0.82,0,0.82,2.46,0,2.46,48.43,0.82,0,14.78,0,0,4.93,0,0,0,0.82,13.95,2.46
 36-46,0,0,0,0,0.81,0,12.09,0,0,0,2.42,0,0,0,0,0,0,0,0,5.64,0,0.81,49.15,0,0.81,0.81,0,0,3.22,0,0,0,0,8.06,0
 48-58,0,0,0.57,0,0.57,0,17.79,0.57,0.57,0.57,4.02,0,0,0.57,0.57,0.57,0,0.57,0,4.59,0,2.3,42.46,0.57,1.15,0,0,0.57,2.87,0,0,0,0,4.59,0
 60-70,0,0,0,0,0.98,0,21.59,0,0,0.98,0,0,0,0.98,0,0.98,0,0,0,4.91,0,1.96,46.13,0.98,0.98,0.98,0,0,0.98,0,0,0,0,1.96,0
 72-82,0,0,0,0,1.96,0,16.69,0,0,0,4.91,0.98,0,0,0,0,0,0,0,10.8,0.98,0,28.47,0,2.94,1.96,0,0.98,1.96,0,0,0.98,0,1.96,0.98
 84-94,0,0,0,0,2.12,0,11.68,0,0,0,3.19,1.06,0,1.06,0,0,0,0,0,5.31,0,1.06,21.24,0,3.19,0,0,0,2.12,0,0,0,0,0,1.06
 96-106,0,0,0,0,4.37,1.09,14.21,0,0,0,6.56,2.19,0,0,0,0,0,0,0,8.74,0,0,12.02,0,1.09,1.09,0,1.09,3.28,0,0,0,0,1.09,0
108-118,0,0,0,0.77,3.06,0,9.96,0,0,0.77,2.3,0.77,0,0.77,0.77,0,0,0,0.77,1.53,0,2.3,14.55,0.77,0,1.53,0,0,3.06,0,0,0,0,0,0
120,0,0,0,0,1.96,0,5.88,0,0,0,0,1.96,0,0,0,0,0,0,0,5.88,0,1.96,15.68,0,0,0,0,0,1.96,0,1.96,0,0,0,0
