stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,15.77,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,40.91,3.15,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,8,2,15,0,10,1,0,0,1,1,8,0,9,45,1,0,3,5,0,0,0,4,6,1,5,26,0,0,0,1
 24-34,0,0.82,0,1.64,13.13,1.64,10.67,1.64,0,0.82,0,0,19.7,0,9.03,58.28,0,0,0,0,0,0.82,0,0,0,0,2.46,34.48,0,3.28,0,1.64
 36-46,0,0,0.81,0,9.67,3.22,5.64,0.81,0,0,0,0,29.81,0,7.25,30.62,0,0,0,0,0,0,0,0,0,0,0,24.17,0,1.61,0,0
 48-58,0,0,0,0,8.61,1.72,16.07,0.57,0,0.57,0,0,52.22,2.87,5.74,19.51,0,0.57,1.15,0,0,0,0,0,1.15,0,0,17.79,0.57,1.15,0,0.57
 60-70,0,0,0,0,11.78,0.98,33.37,0.98,0.98,0,0,0,45.15,1.96,6.87,16.69,0.98,0,0.98,0,0,0,0,0,0,0,0,13.74,0.98,0,0.98,1.96
 72-82,0,0,0,0.98,10.8,3.93,42.21,0.98,0.98,0,0,0,96.2,4.91,4.91,10.8,0,0.98,0,0,0,0,0,0,0,0,0,4.91,5.89,2.94,2.94,0
 84-94,0,0,2.12,0,12.74,4.25,26.55,2.12,0,0,0,0,57.35,3.19,3.19,9.56,0,0,3.19,0,0,0,0,0,0,0,0,3.19,1.06,3.19,5.31,0
 96-106,0,0,1.09,0,5.46,1.09,34.97,3.28,0,0,1.09,0,52.46,0,1.09,14.21,0,1.09,0,0,1.09,2.19,0,0,0,0,0,6.56,2.19,2.19,0,0
108-118,0,0,0.77,0,5.36,3.06,22.98,1.53,0,0,0,0,36,0,6.13,9.19,0.77,0,0.77,0,1.53,0.77,0,0,0,0,0,2.3,1.53,2.3,1.53,0
120,0,0,0,0,1.96,1.96,15.68,1.96,0,1.96,0,0,25.48,0,1.96,7.84,0,0,3.92,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0
