stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,iridophores,liver,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,7.89,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,15.73,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,3.28,0,0,1.64,0,3.28,0,0,0
 36-46,0,0,0,0.81,0,6.45,0,0,0,0,0.81,0,0,0,0,11.28,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,29.26,0,0,0,0,0,0,0,0,0,7.46,0,0,0,0,0,0,0,0
 60-70,0,0,0.98,0.98,0,283.66,0,0,0,0,0,0,0,0,0.98,13.74,0,0,0,0,1.96,0,0,0.98
 72-82,0,0,0,0,0.98,417.21,0,0,2.94,0,0,0,0,0,1.96,10.8,0,0,0,0,2.94,0,0.98,0
 84-94,0,0,0,2.12,0,392.95,0,0,0,1.06,0,1.06,0,0,3.19,4.25,0,0,2.12,0,1.06,2.12,0,0
 96-106,0,0,0,4.37,1.09,321.3,1.09,0,1.09,0,0,1.09,1.09,0,2.19,8.74,0,0,2.19,1.09,0,0,0,0
108-118,0,0,0,1.53,0.77,266.56,0,0,0.77,0.77,0,0,0,1.53,3.06,5.36,0,0,0.77,0,0,0,0,0
120,0,0,0,1.96,1.96,250.85,0,1.96,0,0,0,0,0,0,0,9.8,0,0,1.96,0,0,0,1.96,0
