stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,12.26,30.65,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,49.04,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,15.77,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.2,0,0,18.4,7.89,2.63,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,12.59,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,78.67,0,0,18.88,9.44,0,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,10,1,0,0,16,1,4,1,2,3,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0.82,0,0,0,0,0,0,0.82,0,0.82,0.82,0,0,0,0,0.82,12.31,0,0.82,0,15.6,0,0,0,0,1.64,0,0,0.82,0
 36-46,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,2.42,1.61,0,0,0.81,7.25,0,0,0,12.89,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,0,0,4.02,0,0,0.57,0,0.57,0,0,0,0,0,0,0.57,0.57,0,0,0.57,6.31,0,0.57,0,18.94,0,0,0,0,1.15,0,0,0.57,0
 60-70,0,0,0,0,0.98,0.98,2.94,0.98,0,1.96,0,0,0,0,0,0,0,0,0,2.94,0,0,0,4.91,0,0,0,52.02,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,5.89,0,2.94,0,0,1.96,0,0,0.98,0,0,0,0,0,0,0.98,0,0,0.98,2.94,0,0,0,103.07,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,0,6.37,0,0,7.43,0,1.06,0,0,0,1.06,4.25,0,0,0,0,2.12,2.12,0,0,6.37,0,1.06,0,374.9,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,27.32,1.09,4.37,5.46,0,3.28,0,0,0,2.19,2.19,0,0,0,0,3.28,3.28,0,1.09,10.93,0,0,0,355.18,0,0,0,0,0,1.09,2.19,0,0
108-118,0,0,0,0,33.7,4.6,0,9.19,0.77,2.3,2.3,0,0,1.53,13.79,0.77,0,0,0,1.53,3.83,0,0,4.6,0,0.77,0,373.02,0,0,0,0,0,0.77,2.3,0,0.77
120,0,0,0,0,17.64,3.92,1.96,9.8,0,0,1.96,0,1.96,3.92,5.88,0,0,0,0,0,7.84,1.96,0,7.84,0,0,0,235.17,0,0,0,0,0,0,0,0,1.96
