stage,blastomeres,epidermis,fin.mesenchyme,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,neural,notochord,olfactory,otic,periderm,taste
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0.82,0,0,2.46,0,0,0.82,0,3.28,0,4.1,0
 36-46,0,0,0,0,0,0,0,0,0,0,4.03,0,5.64,0,1.61,0
 48-58,0,0,0.57,0,0,0.57,0,0,0,1.15,0.57,0,2.3,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0.98,0,4.91,0,1.96,0
 72-82,0,0,0,0,0,0,0,3.93,0,0,1.96,0,14.72,0.98,1.96,0
 84-94,0,0,0,1.06,0,1.06,0,2.12,0,0,0,0,6.37,0,3.19,0
 96-106,0,1.09,0,0,0,0,0,6.56,1.09,1.09,0,0,13.11,0,3.28,0
108-118,0,0,0,0.77,0,0.77,0.77,1.53,0.77,0,0.77,0,10.72,0,5.36,1.53
120,0,0,0,0,0,0,0,5.88,0,0,1.96,0,5.88,0,0,1.96
