stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,18.4,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,1,3,0,0,0,0,1,1,0,0,0,0,3,0,1,20,0,1,0,1,1,0,5,3,0,0,0,0
 24-34,0,0,0.82,0.82,6.57,0,0,0,0,0,0,0,0,0.82,0,3.28,0,1.64,38.58,0,0.82,0,0.82,0,0,0.82,8.21,0,0,0,0
 36-46,0,0,1.61,0.81,3.22,0.81,0,0,0.81,0,0,0,0.81,0,0,0.81,0.81,1.61,20.95,0.81,0,0,1.61,0,0,0,1.61,0,0.81,0,0
 48-58,0,0,1.15,0,6.89,0.57,0,0.57,1.15,0,0,0,0,0,0,2.87,0,0.57,17.21,0,0,0,1.15,0,0,0,2.87,0.57,0.57,0,0.57
 60-70,0,0,0.98,0,7.85,0,0,0.98,0,0,0,0,0.98,0,0,2.94,0,0,12.76,0,0.98,0,3.93,0,0.98,0,1.96,0,0.98,0,0
 72-82,0,0,0.98,0,6.87,0,0,0,1.96,0,0,0,0.98,0,0,5.89,0,0.98,9.82,0,0,0,0.98,0,0,0,0.98,0.98,0,0,0.98
 84-94,0,0,1.06,1.06,5.31,0,1.06,0,1.06,0,0,0,0,0,0,1.06,0,0,3.19,0,1.06,0,1.06,0,0,0,0,0,1.06,0,0
 96-106,0,0,2.19,0,6.56,0,0,0,0,0,0,0,0,0,0,2.19,0,0,2.19,0,0,0,3.28,0,0,0,0,0,1.09,1.09,1.09
108-118,0,0,0.77,0.77,1.53,0,0,0,0,0.77,0,0,0,0,0,2.3,0,0,2.3,0,0,0,2.3,0,0,0,0,0,0,0,0.77
120,0,0,3.92,9.8,1.96,0,0,0,1.96,0,0,7.84,1.96,0,3.92,0,0,1.96,13.72,0,0,0,0,0,0,0,0,0,1.96,0,0
