stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,heart,immune,liver,mesenchyme,mural_cell,neural,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0.82,4.93,0,0,0,0.82,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,3.22,0,0,0,0.81,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,4.59
 60-70,0,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0,2.94
 72-82,0,0.98,4.91,0.98,0,0,0,7.85,0.98,0,0,2.94,0,0.98,0.98,13.74
 84-94,0,0,1.06,1.06,0,0,0,8.5,0,0,0,0,0,0,0,12.74
 96-106,0,1.09,9.84,0,1.09,0,0,16.39,0,0,1.09,4.37,0,0,0,15.3
108-118,0,0,11.49,0.77,0,0.77,0,19.15,0,0,0,6.13,0,0,0,6.13
120,0,0,11.76,0,0,0,0,41.16,0,1.96,0,5.88,0,0,0,3.92
