stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,1,1,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0.82,7.39,0,0,0,0,0,0,0,0.82,0.82,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,4.03,0,0,0,8.86,0,0,0,0,1.61,0,0,0,3.22,0,0
 48-58,0,0,0.57,0,5.74,0,0.57,1.72,0,0.57,0,0,0,0.57,2.3,0,0,0.57,6.31,0,0.57,0,0,1.15,0,0,0,1.15,0,0
 60-70,0,0,1.96,0,9.82,0,0,4.91,0,0,0,0,0.98,0,2.94,0,0,0,6.87,0,0.98,0,0,0,0,0,0,0.98,0,1.96
 72-82,0,0,0,0,15.71,0,0,2.94,0,0,0.98,0,0,0,2.94,0,0,0,5.89,0,0.98,0.98,0,0.98,0.98,0,0,0,0,0
 84-94,0,0,2.12,1.06,8.5,0,0,2.12,0,0,0,1.06,0,0,1.06,0,0,0,3.19,0,0,1.06,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,5.46,0,1.09,0,1.09,0,0,0,0,0,1.09,1.09,0,1.09,3.28,0,0,0,0,1.09,0,0,0,0,1.09,0
108-118,0,0,0.77,0.77,2.3,1.53,0,1.53,0,0,0,0,0,0,1.53,0,0.77,0,1.53,0,0,0,0,0,0.77,0,0,0,0,0
120,0,0,0,0,1.96,0,0,1.96,1.96,0,0,0,0,1.96,1.96,0,0,0,5.88,0,1.96,0,0,0,0,0,0,1.96,0,0
