stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,0,0,6,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,2.46,0,4.93,0.82,0,0,0,0,0.82,0,1.64
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,1.61,0,4.03,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0.57,0,0,0,1.15,0.57,0,0,0,0,0,1.72,0,2.3,0,0,0,0,0,1.72,0,0
 60-70,0,0.98,0,1.96,0,0,0,0,0.98,0,0,0,0,0,2.94,0,6.87,0,0,0,0,0.98,0.98,0,0
 72-82,0,0.98,0,1.96,0,4.91,0,0.98,0.98,13.74,0,0,0,0,8.83,2.94,8.83,0,0,0,0.98,0,0,0,0
 84-94,0,2.12,0,5.31,1.06,1.06,0,2.12,0,19.12,0,0,0,0,2.12,1.06,2.12,0,0,0,0,6.37,0,0,0
 96-106,0,7.65,2.19,3.28,0,0,0,1.09,1.09,43.71,0,0,0,0,2.19,0,19.67,0,1.09,0,0,1.09,1.09,1.09,0
108-118,0,1.53,2.3,3.06,0,2.3,0.77,2.3,0,54.38,0.77,0,0.77,1.53,3.06,0.77,12.26,0,0,0,0,3.06,0,0,0
120,0,1.96,0,1.96,0,0,0,0,0,86.23,1.96,0,0,0,0,1.96,21.56,0,0,0,0,0,0,0,0
