stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,51,9,14,0,0,0,2,3,1,1,0,3,0,0,0,1,14,0,0,9,168,3,0,3,4,0,2,30,3,3,23,60,0,0,4,0,0
 24-34,0,0.82,1.64,16.42,0,23.8,0,4.1,1.64,3.28,1.64,0,0,0.82,8.21,0,3.28,0,2.46,16.42,0,0,7.39,154.32,2.46,1.64,4.1,0,0,25.45,0,0,0.82,3.28,43.51,0,0,9.85,0,2.46
 36-46,0,0,0,9.67,0,14.5,0,0.81,0,2.42,0,0,0,0,0.81,0,1.61,0,0.81,6.45,0,0,4.03,93.46,0.81,0.81,0.81,0,0,14.5,0,0.81,0.81,0,21.75,0,0,1.61,0,1.61
 48-58,0,0,0,3.44,0,21.8,0,2.3,0,4.59,1.15,0,0.57,1.72,1.15,0.57,0.57,0,0,6.89,0.57,0.57,1.15,49.35,1.72,0.57,2.87,0,0.57,9.75,0,0,0.57,0,6.89,0,0,1.72,0,0
 60-70,0,0,0,12.76,0,30.43,0.98,4.91,0,2.94,0.98,0,0.98,1.96,0.98,0.98,0,0,0,12.76,0,0,1.96,56.93,0,0.98,0,0,0,15.7,0,0.98,0.98,0,4.91,0,0,0,0,0
 72-82,0,1.96,0,9.82,1.96,59.88,0,2.94,0.98,9.82,3.93,0,1.96,3.93,1.96,0,0.98,0,0,28.47,0,0,2.94,82.46,0,3.93,1.96,0,0,17.67,0,0,0,0,7.85,2.94,0.98,5.89,0.98,7.85
 84-94,0,0,0,8.5,1.06,29.74,1.06,3.19,0,6.37,4.25,0,0,5.31,3.19,2.12,1.06,2.12,2.12,5.31,2.12,2.12,0,29.74,1.06,4.25,3.19,0,0,21.24,0,0,0,0,3.19,0,0,7.43,0,1.06
 96-106,0,3.28,0,10.93,1.09,18.58,0,0,2.19,5.46,2.19,0,2.19,6.56,0,0,4.37,1.09,0,15.3,1.09,1.09,1.09,19.67,0,5.46,2.19,0,0,12.02,0,1.09,0,0,4.37,0,1.09,5.46,1.09,0
108-118,0,0,0,13.02,1.53,19.92,0,0.77,0,6.13,2.3,0,1.53,6.13,0.77,1.53,2.3,0.77,0,13.79,0,0,3.83,36.77,3.83,2.3,2.3,0,0.77,16.09,0,0.77,0,0,3.06,1.53,0,5.36,0.77,0.77
120,0,0,0,5.88,1.96,11.76,0,3.92,0,3.92,3.92,0,0,15.68,0,0,1.96,0,0,7.84,1.96,0,3.92,39.2,1.96,5.88,1.96,0,0,35.28,0,1.96,0,0,1.96,0,0,1.96,3.92,0
