stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,12.26,12.26,0,0,0,0,0,0,0,0
  7-9,5.26,0,15.77,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,10.51,18.4,0,0,23.66,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,18.88,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,4,4,0,4,6,0,0,0,0
 24-34,0,0,0,0.82,0,0,4.1,0.82,0,0,0,0,0,0,0,0,0.82,4.93,0,0,0.82,15.6,0.82,0,2.46,0,8.21,0,0.82,0.82,6.57,0,0,0,0
 36-46,0,0,0,1.61,0,0,4.03,0,0,0,0,0,0,0,0,0,0,4.03,0,0.81,0,21.75,0,0.81,0,0,7.25,0,2.42,0,4.03,0,1.61,0,0
 48-58,0,0,0,0,0,0,5.16,0,0.57,1.72,0,0,0,0.57,0.57,0.57,0,4.02,0.57,0,0,18.94,0,1.72,0.57,0,2.3,0,0,0,4.59,0,1.72,0,0
 60-70,0,0,0,0,0,0,6.87,0,0.98,3.93,0,0,0,0,0,0,0,3.93,0,0,0.98,23.56,0.98,0.98,0,0,5.89,0,0,0,8.83,0.98,0,0,0.98
 72-82,0,0,0,1.96,1.96,0,4.91,0,0,3.93,1.96,0,0,0,0,0,0,1.96,0,0,0,7.85,0,1.96,0,0,2.94,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,2.12,0,0,5.31,0,0,3.19,0,1.06,0,4.25,1.06,0,0,6.37,1.06,0,1.06,7.43,0,0,0,0,16.99,0,0,0,1.06,0,0,0,1.06
 96-106,0,0,0,2.19,0,1.09,6.56,0,0,2.19,0,0,0,2.19,1.09,1.09,0,9.84,0,0,0,10.93,0,1.09,1.09,0,6.56,0,0,0,3.28,0,0,1.09,0
108-118,0,0,0,3.06,0.77,0,3.06,2.3,0.77,2.3,0.77,0,0,0.77,0.77,0,0,5.36,0,0.77,1.53,9.19,0,0,0,0,10.72,0,0,0,0,0,0.77,0,0
120,0,0,0,1.96,0,1.96,13.72,1.96,0,0,0,0,0,3.92,0,0,0,5.88,0,0,1.96,5.88,0,1.96,0,0,15.68,0,1.96,0,0,0,1.96,0,0
