stage,axial,blastomeres,erythrocytes,eye,gut,immune,mucous,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.89,13.14,0,0
 10-12,0,0,0,0,0,0,0,15.73,3.15,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,1.64,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0.81,0
 48-58,0,0,0,0,0,0,0.57,0.57,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0.98
 72-82,0,0,4.91,0,0,0,0,0,0,0,0
 84-94,0,0,5.31,0,0,0,0,0,0,2.12,0
 96-106,0,0,1.09,1.09,0,0,0,0,0,2.19,0
108-118,0,0,0,0,0,0.77,0,0,0,0.77,0
120,0,0,1.96,0,0,0,0,0,0,1.96,0
