stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,500.76,8552.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.52,0,0,0,0,0,0,0
  5-6,245.19,3359.04,0,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,61.3,6.13,0,0,18.39,0,73.56,0,0,0,0,0,0,0
  7-9,21.03,15.77,0,36.8,0,0,21.03,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,486.31,21.03,0,0,186.64,0,2.63,7.89,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,12.59,0,0,12.59,0,0,6.29,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39,0.82,0,0,0,0,0,0,0,9.85,0,0,0,0
 36-46,0,0,0,0,0,0,8.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.34,0,0.81,0,0,0,0,0,0,4.83,0,0,0,0
 48-58,0,0,0,0,0.57,0,49.92,0.57,0,0,0.57,0,0,0,0,0,0,0,0,0,0,18.94,0,0,0,0,0,0,0,0,5.74,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,577.13,0,0,0,1.96,0,0,0,0,0,0.98,0,4.91,0,0,23.56,0,0,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0.98,0,9.82,0,1114.19,0,0,0.98,30.43,1.96,0,0,0.98,0.98,0.98,0.98,4.91,0,2.94,72.64,0,0.98,0,0,0,0,0,0.98,0,1.96,1.96,0,0
 84-94,0,0,1.06,0,7.43,2.12,592.62,0,0,1.06,26.55,0,0,0,0,1.06,0,0,11.68,0,1.06,57.35,0,2.12,1.06,0,0,2.12,0,0,3.19,1.06,1.06,1.06,0
 96-106,0,0,0,0,12.02,0,624.02,0,1.09,0,26.23,0,0,1.09,3.28,1.09,1.09,2.19,6.56,0,0,56.83,0,0,1.09,0,1.09,2.19,0,1.09,0,1.09,0,1.09,3.28
108-118,0,0,0,0,3.06,0.77,407.49,0.77,0,0,14.55,0.77,0,0,1.53,0,0,0,6.13,0.77,0.77,21.45,0,0,0.77,0,0,0,0,0,0.77,0,0.77,0,0.77
120,0,0,0,0,3.92,0,243.01,1.96,0,1.96,11.76,0,0,0,0,0,0,0,5.88,0,0,37.24,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0
