stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,1462.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0
  5-6,12.26,398.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,26.29,5.26,0,0,10.51,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,18.88,0,0,9.44,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,21,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,8.21,0,0,0,0,0,0,0,0,0,0,0,0,0.82,164.17,1.64,3.28,0.82,0,0,0,60.74,0,0,0.82,0,0.82
 36-46,0,0,0,0,0,0,0,28.2,0,0,0,1.61,0,0,0,0,0,0,0.81,0,0,399.61,0,3.22,0.81,0,0,0,71.7,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,109.02,0,0.57,0,6.89,0,0,0,0,0,0,8.61,0,1.72,511.26,0,1.15,1.72,0,0,0,117.63,0,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,0,321.94,0,0.98,0.98,15.7,0,0,0,1.96,0,0,5.89,0,0.98,684.12,0,3.93,2.94,0,1.96,0,101.1,0,0,0,0,0.98
 72-82,0,0,0.98,0,2.94,1.96,0,256.21,0,0,0,22.58,0,0,0.98,0,0,0,12.76,0.98,1.96,462.36,0,6.87,4.91,0,0,0,37.3,1.96,0,0,0.98,0
 84-94,0,0,0,0,3.19,1.06,0,200.73,0,1.06,0,14.87,0,0,0,1.06,1.06,2.12,9.56,1.06,2.12,211.35,0,2.12,5.31,0,0,0,23.36,0,1.06,1.06,0,0
 96-106,0,0,0,0,3.28,1.09,1.09,123.49,0,0,2.19,14.21,1.09,0,0,1.09,0,3.28,6.56,1.09,0,156.28,0,9.84,10.93,0,0,0,12.02,0,0,0,1.09,0
108-118,0,0,0,0,2.3,0,0,76.6,0.77,0,0,9.19,0,0,0,0,0,1.53,10.72,0,0,198.38,0,2.3,6.89,0,0,0,4.6,0,0,0,0,0
120,0,0,0,0,1.96,0,0,72.51,0,0,0,17.64,0,0,0,1.96,0,0,1.96,0,0,190.1,0,5.88,5.88,0,0,0,9.8,1.96,0,0,0,0
