stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,15.73,6.29,9.44,0,0,0,0,0,0,0
 14-21,0,0,4,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,4,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0,4.93,0,1.64,2.46,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0.81,0.81,0,0,0,0,0,2.42,0,0,15.31,0,0,0,0,0,3.22,0,0.81,0
 48-58,0,0,0.57,0,4.59,0,0,0,0,0,0,1.72,0,0.57,24.1,0,0,0,0.57,0,8.03,0,0,0
 60-70,0,0,0.98,0,13.74,0,0,4.91,0,0,0,1.96,0,0.98,51.04,0,0,0,0,0,11.78,0,0.98,0
 72-82,0,0,2.94,0,17.67,0,0.98,13.74,0,0,0,2.94,0.98,0,78.53,0,0,0,0.98,0,5.89,0.98,1.96,0.98
 84-94,0,0,1.06,0,16.99,0,3.19,6.37,0,0,0,1.06,0,0,33.99,0,0,0,3.19,0,6.37,0,1.06,0
 96-106,0,0,1.09,0,13.11,0,1.09,3.28,0,1.09,1.09,0,1.09,0,33.88,0,0,0,2.19,0,1.09,1.09,2.19,0
108-118,0,0,0,0,11.49,0.77,0,3.83,0,0,0,2.3,2.3,0,37.53,0,0,0.77,0.77,0.77,1.53,0.77,1.53,0
120,0,0,0,0,11.76,0,0,7.84,0,0,0,1.96,1.96,0,43.12,0,0,0,1.96,0,3.92,0,0,0
