stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,5.26,0,0,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,107.78,2.63,0,0,47.32,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,22.03,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,138.47,0,0,0,40.91,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,1,0,9,6,11,0,0,0,2,0,0,0,0,1,0,0,0,11,0,0,5,113,1,0,1,6,0,0,14,2,18,39,0,0,3,0,0
 24-34,0,0,0,0,4.93,0.82,23.8,0,0.82,0,4.1,0.82,0,0,0,0,0.82,0,0,18.06,0,0,6.57,233.94,1.64,4.1,3.28,0,0,0,0,0.82,1.64,50.07,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,45.12,0,0,0,13.7,0,0,0,0,0,0,0,0,17.72,0,0.81,3.22,232.84,0.81,0,0,0,0,1.61,0,0,0,47.53,0,0,0,0,0
 48-58,0,0,0,0,2.3,0,49.92,0.57,0,0,16.64,0,0,0.57,0,0,0,0,0,17.79,0,1.72,1.72,110.74,0.57,1.15,1.15,0,0,0.57,0,0,0,20.08,0,0,0.57,0,0.57
 60-70,0,0,0,0,2.94,0,48.09,0.98,0,0.98,9.82,0.98,0,0,0,0.98,0,0,0,10.8,0,0.98,0.98,122.69,0,1.96,0,0,0,0.98,0,0,0,18.65,0,0,0.98,0,0.98
 72-82,0,0,0,0,0.98,0.98,43.19,0,0,0,13.74,0,0,0,0,0,0,0,0,19.63,0,0,3.93,72.64,0,1.96,0,0,0,0.98,0,0,0,10.8,0.98,0,0.98,0.98,0
 84-94,0,0,0,0,6.37,0,30.8,0,0,2.12,4.25,0,0,1.06,1.06,0,0,1.06,0,20.18,1.06,0,3.19,41.42,0,1.06,2.12,0,1.06,6.37,0,0,0,4.25,0,1.06,2.12,0,0
 96-106,0,0,0,0,3.28,1.09,14.21,0,0,0,6.56,1.09,0,2.19,0,1.09,0,0,0,18.58,0,3.28,1.09,28.41,0,0,0,0,0,4.37,0,0,0,0,0,0,3.28,0,0
108-118,0,0,0,0,4.6,0,18.38,1.53,0,0.77,11.49,0.77,0,0.77,2.3,0.77,1.53,0,0.77,8.43,0.77,0,1.53,49.02,0,1.53,0,0,0,1.53,0,0,0,3.06,2.3,0,0.77,0.77,0
120,0,0,0,0,5.88,0,23.52,3.92,0,0,11.76,3.92,0,0,1.96,0,0,0,0,3.92,0,0,0,23.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
