stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,10.51,0,0,0,0,0,0,0,0,0,81.49,0,0,0,0,0,0,0,0,26.29,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,18.88,9.44,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,1,0,2,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0.82,0,0,0.82,0,0,4.1,4.1,6.57,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,3.22,0,0,0.81,0,0.81,0,0,0,0,0,0,0,4.83,0,0,0.81,4.03,7.25,0,0,0,0,0,0,0,4.83,0,0,1.61,0,0
 48-58,0,0,1.72,0,0,0.57,0,1.72,0,0,0,0,0,0,0,8.03,0,0,2.3,3.44,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,2.94,0,0,0.98,1.96,2.94,0,0,0,0,0,0,0,12.76,0,0,0.98,12.76,6.87,0,0.98,0,0,0,0,0,0.98,0,0.98,0,0,0
 72-82,0,0,4.91,0.98,0,5.89,0,3.93,0.98,1.96,0,0,0.98,0,0,23.56,0.98,0,2.94,12.76,0.98,0.98,0,0,0.98,0.98,0,0,0.98,0,0,0,3.93,0
 84-94,0,0,4.25,0,0,3.19,0,2.12,0,1.06,0,1.06,1.06,0,0,27.61,2.12,1.06,0,12.74,0,0,0,0,2.12,4.25,0,1.06,1.06,0,0,1.06,5.31,0
 96-106,0,0,26.23,1.09,0,5.46,2.19,1.09,1.09,2.19,0,0,0,1.09,0,36.06,0,2.19,0,13.11,0,1.09,0,0,1.09,15.3,0,0,0,0,1.09,0,3.28,0
108-118,0,0,21.45,0,0.77,3.06,3.83,4.6,1.53,1.53,0,0,1.53,0,0.77,39.83,0,1.53,1.53,13.02,1.53,0.77,0.77,0,3.83,5.36,0,0,0,1.53,0,0,1.53,0
120,0,0,21.56,1.96,0,0,7.84,3.92,0,0,0,0,0,0,3.92,21.56,0,0,5.88,15.68,0,0,3.92,0,0,1.96,0,0,0,1.96,0,0,5.88,1.96
