stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,2.63,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,8,1,1,0,0,0,1,0,0,0,0,0,0,1,0,4,30,1,1,3,0,0,8,5,8,0,0,0
 24-34,0,0,0,3.28,0,2.46,0.82,1.64,0,0.82,0,0.82,0,0.82,0.82,0,2.46,0,3.28,24.63,0,0,0,0,0,0,0.82,7.39,0,0,0
 36-46,0,0,0,0.81,0,3.22,0,0.81,0,0,0,0,0,0,0,0.81,5.64,0.81,0.81,21.75,0,0,0,0.81,0,0,0,8.86,0,0,0
 48-58,0,0,0,1.15,0,5.16,0,0,0,0.57,0,0,0.57,0.57,0,0,7.46,0.57,1.72,28.12,0,0,0,0,0,0,0,4.59,0.57,0,0
 60-70,0,0,0,0.98,0,7.85,0,0.98,0.98,0.98,0,0,0,0,0,0,8.83,0,0.98,56.93,0.98,0,0,0,0,0,0,7.85,0.98,0,0
 72-82,0,0,0,4.91,0.98,16.69,0,2.94,0.98,4.91,0,0,0.98,0,0,0,20.61,0,2.94,53.99,0.98,0,0,0,0.98,0,0,5.89,0,0.98,0.98
 84-94,0,1.06,0,5.31,0,14.87,0,2.12,1.06,1.06,0,0,0,2.12,0,0,15.93,0,3.19,37.17,2.12,2.12,0,2.12,0,0,0,2.12,0,0,1.06
 96-106,0,0,0,2.19,0,6.56,0,1.09,0,2.19,2.19,0,0,0,0,0,6.56,1.09,1.09,21.86,2.19,0,0,0,0,0,0,1.09,0,0,2.19
108-118,0,0,0,0.77,0,4.6,0,2.3,1.53,3.06,0,0,1.53,0,0,0,14.55,0,2.3,42.13,1.53,0,0,0,0,0,0,0.77,0.77,0,0.77
120,0,0,0,1.96,0,1.96,1.96,0,0,5.88,0,0,0,1.96,0,0,3.92,0,3.92,35.28,1.96,0,0,0,0,0,0,1.96,0,1.96,0
