stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,935.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0
  5-6,36.78,269.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,17,1,3,0,0,2,0,0,0,5,0,0,1,6,0,0,4,35,0,0,0,0,0,2,4,2,9,0,2,0,0
 24-34,0,0,0.82,5.75,0,19.7,0.82,0,0,0.82,0,0.82,2.46,0,0,0,18.06,0,0,2.46,116.56,0,1.64,0.82,0,0,3.28,0,3.28,22.98,0,3.28,0,0.82
 36-46,0,0,0,3.22,1.61,20.95,0,0,1.61,0,0,0.81,0.81,0,0,0,12.09,0,0,1.61,57.2,0,0.81,0.81,0,0,4.03,0,0,15.31,0,2.42,0,0
 48-58,0,0,0,2.3,0,20.08,0,0,4.02,0,0,1.15,0.57,0,0,0,6.89,0.57,0,1.15,32.71,0,0,0.57,0,0,0.57,0,0,5.74,0,1.72,0,0
 60-70,0,0,0,2.94,0,24.54,0.98,0,1.96,0,0,0,0,0,0.98,0.98,10.8,0,0,1.96,21.59,0,0.98,0.98,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,3.93,0.98,23.56,0,0,5.89,0.98,0,0.98,0,0,0,0,15.71,0,1.96,2.94,14.72,0,3.93,0,0,0.98,3.93,0,0,1.96,0,1.96,0,0
 84-94,0,0,0,4.25,2.12,15.93,1.06,2.12,5.31,0,0,5.31,5.31,0,0,0,9.56,0,1.06,4.25,23.36,0,1.06,2.12,0,2.12,4.25,0,0,0,1.06,1.06,0,1.06
 96-106,0,0,0,5.46,0,12.02,0,1.09,3.28,2.19,0,6.56,0,0,3.28,2.19,14.21,0,0,1.09,9.84,0,0,0,0,0,5.46,0,0,0,0,1.09,0,0
108-118,0,0,0,7.66,4.6,13.02,0,0.77,3.83,2.3,0.77,3.83,0.77,0.77,0,3.06,17.62,0,0.77,2.3,14.55,0,1.53,1.53,0,0,3.83,0,0,0,2.3,4.6,0,1.53
120,0,0,0,5.88,0,5.88,0,0,1.96,0,0,3.92,1.96,0,0,0,9.8,0,0,1.96,15.68,1.96,1.96,3.92,0,0,0,0,0,0,0,3.92,3.92,0
