stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vasculature
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,165.5,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,6.13,0,0,0,0
  7-9,2.63,7.89,2.63,0,18.4,0,0,0,0,2.63,0,0,0,0,94.63,0,0,0,47.32,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,62.94,6.29,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0
 36-46,0,0,0,0,2.42,0,0,0,0.81,0,0.81,0,0.81,0,4.03,0,0,0,0,0,4.83,0.81,1.61,0
 48-58,0,0,0,0,0,1.15,0,0,0,0,0,0,0.57,0,3.44,0,0,0,0,0,1.72,0,0.57,0.57
 60-70,0,0,0,0,1.96,0.98,0,0,0,0,0.98,0,2.94,0,2.94,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0.98,2.94,0,0,0.98,0,0,3.93,0.98,0,0,3.93,0,0,0,0,0,1.96,0.98,0,0
 84-94,0,0,0,0,1.06,0,0,1.06,0,0,2.12,0,1.06,0,2.12,0,1.06,0,0,0,19.12,0,0,0
 96-106,0,0,0,4.37,3.28,0,0,1.09,0,0,15.3,1.09,0,0,2.19,0,1.09,0,0,0,8.74,0,0,0
108-118,0,0,0,1.53,1.53,0,0.77,0,0.77,0,9.19,2.3,0,0.77,3.06,0,0.77,0,0,0,14.55,0,0,0
120,0,0,0,1.96,0,0,0,1.96,0,0,7.84,0,0,0,0,1.96,0,1.96,0,0,11.76,0,0,1.96
